GISJOIN,YEAR,STUSAB,STATE,STATEA,PUMAA,GEOID,NAME_E,AJZAE001,NAME_M,AJZAM001
GIS Join Match Code,Data File Year,State Postal Abbreviation,State Name,State Code,Public Use Microdata Area Code,Census Geographic Identifier,Estimates: Area Name,Estimates: Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margins of error: Area Name,Margins of error: Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
G01000100,2014-2018,AL,Alabama,1,100,79500US0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",44779,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",1317
G01000200,2014-2018,AL,Alabama,1,200,79500US0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",64779,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",2670
G01000301,2014-2018,AL,Alabama,1,301,79500US0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",62399,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",1595
G01000302,2014-2018,AL,Alabama,1,302,79500US0100302,"Huntsville City (Central & South) PUMA, Alabama",52811,"Huntsville City (Central & South) PUMA, Alabama",1814
G01000400,2014-2018,AL,Alabama,1,400,79500US0100400,"DeKalb & Jackson Counties PUMA, Alabama",39499,"DeKalb & Jackson Counties PUMA, Alabama",1447
G01000500,2014-2018,AL,Alabama,1,500,79500US0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",50823,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",1289
G01000600,2014-2018,AL,Alabama,1,600,79500US0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",48330,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",1585
G01000700,2014-2018,AL,Alabama,1,700,79500US0100700,"Cullman & Winston Counties PUMA, Alabama",41732,"Cullman & Winston Counties PUMA, Alabama",1134
G01000800,2014-2018,AL,Alabama,1,800,79500US0100800,"St. Clair & Blount Counties PUMA, Alabama",52759,"St. Clair & Blount Counties PUMA, Alabama",1491
G01000900,2014-2018,AL,Alabama,1,900,79500US0100900,"Etowah County PUMA, Alabama",44023,"Etowah County PUMA, Alabama",1776
G01001000,2014-2018,AL,Alabama,1,1000,79500US0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",41012,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",1017
G01001100,2014-2018,AL,Alabama,1,1100,79500US0101100,"Calhoun County PUMA, Alabama",45197,"Calhoun County PUMA, Alabama",1578
G01001200,2014-2018,AL,Alabama,1,1200,79500US0101200,"Shelby County PUMA, Alabama",75761,"Shelby County PUMA, Alabama",1348
G01001301,2014-2018,AL,Alabama,1,1301,79500US0101301,"Birmingham City (West) PUMA, Alabama",30275,"Birmingham City (West) PUMA, Alabama",885
G01001302,2014-2018,AL,Alabama,1,1302,79500US0101302,"Birmingham City (East) PUMA, Alabama",36070,"Birmingham City (East) PUMA, Alabama",1500
G01001303,2014-2018,AL,Alabama,1,1303,79500US0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",78184,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",1650
