GISJOIN,YEAR,STUSAB,STATE,STATEA,GEO_ID,TL_GEO_ID,NAME_E,AP2PE001,NAME_M,AP2PM001
G010,2022,AL,Alabama,1,0400000US01,1,Alabama,59674.00,Alabama,727.00
G020,2022,AK,Alaska,2,0400000US02,2,Alaska,88121.00,Alaska,2804.00
G040,2022,AZ,Arizona,4,0400000US04,4,Arizona,74568.00,Arizona,932.00
G050,2022,AR,Arkansas,5,0400000US05,5,Arkansas,55432.00,Arkansas,994.00
G060,2022,CA,California,6,0400000US06,6,California,91551.00,California,471.00
G080,2022,CO,Colorado,8,0400000US08,8,Colorado,89302.00,Colorado,1281.00
G090,2022,CT,Connecticut,9,0400000US09,9,Connecticut,88429.00,Connecticut,1688.00
G100,2022,DE,Delaware,10,0400000US10,10,Delaware,82174.00,Delaware,2002.00
G110,2022,DC,District of Columbia,11,0400000US11,11,District of Columbia,101027.00,District of Columbia,2737.00
G120,2022,FL,Florida,12,0400000US12,12,Florida,69303.00,Florida,616.00
G130,2022,GA,Georgia,13,0400000US13,13,Georgia,72837.00,Georgia,640.00
G150,2022,HI,Hawaii,15,0400000US15,15,Hawaii,92458.00,Hawaii,2241.00
G160,2022,ID,Idaho,16,0400000US16,16,Idaho,72785.00,Idaho,1134.00
G170,2022,IL,Illinois,17,0400000US17,17,Illinois,76708.00,Illinois,584.00
G180,2022,IN,Indiana,18,0400000US18,18,Indiana,66785.00,Indiana,659.00
G190,2022,IA,Iowa,19,0400000US19,19,Iowa,69588.00,Iowa,889.00
G200,2022,KS,Kansas,20,0400000US20,20,Kansas,68925.00,Kansas,1152.00
G210,2022,KY,Kentucky,21,0400000US21,21,Kentucky,59341.00,Kentucky,924.00
G220,2022,LA,Louisiana,22,0400000US22,22,Louisiana,55416.00,Louisiana,800.00
G230,2022,ME,Maine,23,0400000US23,23,Maine,69543.00,Maine,1494.00
G240,2022,MD,Maryland,24,0400000US24,24,Maryland,94991.00,Maryland,1080.00
G250,2022,MA,Massachusetts,25,0400000US25,25,Massachusetts,94488.00,Massachusetts,1260.00
G260,2022,MI,Michigan,26,0400000US26,26,Michigan,66986.00,Michigan,675.00
G270,2022,MN,Minnesota,27,0400000US27,27,Minnesota,82338.00,Minnesota,749.00
G280,2022,MS,Mississippi,28,0400000US28,28,Mississippi,52719.00,Mississippi,895.00
G290,2022,MO,Missouri,29,0400000US29,29,Missouri,64811.00,Missouri,733.00
G300,2022,MT,Montana,30,0400000US30,30,Montana,67631.00,Montana,1496.00
G310,2022,NE,Nebraska,31,0400000US31,31,Nebraska,69597.00,Nebraska,1168.00
G320,2022,NV,Nevada,32,0400000US32,32,Nevada,72333.00,Nevada,1026.00
G330,2022,NH,New Hampshire,33,0400000US33,33,New Hampshire,89992.00,New Hampshire,2310.00
G340,2022,NJ,New Jersey,34,0400000US34,34,New Jersey,96346.00,New Jersey,1114.00
G350,2022,NM,New Mexico,35,0400000US35,35,New Mexico,59726.00,New Mexico,1306.00
G360,2022,NY,New York,36,0400000US36,36,New York,79557.00,New York,722.00
G370,2022,NC,North Carolina,37,0400000US37,37,North Carolina,67481.00,North Carolina,623.00
G380,2022,ND,North Dakota,38,0400000US38,38,North Dakota,71970.00,North Dakota,2072.00
G390,2022,OH,Ohio,39,0400000US39,39,Ohio,65720.00,Ohio,618.00
G400,2022,OK,Oklahoma,40,0400000US40,40,Oklahoma,59673.00,Oklahoma,689.00
G410,2022,OR,Oregon,41,0400000US41,41,Oregon,75657.00,Oregon,1181.00
G420,2022,PA,Pennsylvania,42,0400000US42,42,Pennsylvania,71798.00,Pennsylvania,557.00
G440,2022,RI,Rhode Island,44,0400000US44,44,Rhode Island,81854.00,Rhode Island,2182.00
G450,2022,SC,South Carolina,45,0400000US45,45,South Carolina,64115.00,South Carolina,699.00
G460,2022,SD,South Dakota,46,0400000US46,46,South Dakota,69728.00,South Dakota,2128.00
G470,2022,TN,Tennessee,47,0400000US47,47,Tennessee,65254.00,Tennessee,848.00
G480,2022,TX,Texas,48,0400000US48,48,Texas,72284.00,Texas,443.00
G490,2022,UT,Utah,49,0400000US49,49,Utah,89168.00,Utah,1807.00
G500,2022,VT,Vermont,50,0400000US50,50,Vermont,73991.00,Vermont,2209.00
G510,2022,VA,Virginia,51,0400000US51,51,Virginia,85873.00,Virginia,763.00
G530,2022,WA,Washington,53,0400000US53,53,Washington,91306.00,Washington,841.00
G540,2022,WV,West Virginia,54,0400000US54,54,West Virginia,54329.00,West Virginia,1336.00
G550,2022,WI,Wisconsin,55,0400000US55,55,Wisconsin,70996.00,Wisconsin,644.00
G560,2022,WY,Wyoming,56,0400000US56,56,Wyoming,70042.00,Wyoming,2867.00
G720,2022,PR,Puerto Rico,72,0400000US72,72,Puerto Rico,24112.00,Puerto Rico,515.00
