Region,Units,Fuel Type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
New England,USD2022/kWh-equivalent,propane,0.116264604,0.12469558,0.125749478,0.12145741,0.117057174,0.113505915,0.111473461,0.110702242,0.111054051,0.112203788,0.11405514,0.116408352,0.118762529,0.120649058,0.122062526,0.123321935,0.124945553,0.125734829,0.127020109,0.128279181,0.129174242,0.129629768,0.129737451,0.129971618,0.130057416,0.130199693,0.130517406,0.130610952,0.130538133
New England,USD2022/kWh-equivalent,fuelOil,0.119987317,0.111709713,0.107695167,0.102130345,0.100603437,0.099124816,0.098261198,0.098585713,0.098638751,0.099265382,0.099587143,0.100033587,0.10018272,0.100849887,0.100892338,0.101347334,0.10167541,0.101835812,0.102008631,0.102560857,0.102549519,0.102957689,0.10265301,0.102790423,0.103507317,0.103631246,0.103763222,0.104011014,0.104036195
New England,USD2022/kWh-equivalent,naturalGas,0.064898044,0.062374833,0.057319857,0.055288505,0.054183515,0.053303334,0.052621911,0.052582191,0.052425966,0.052349297,0.052401765,0.052496147,0.052597058,0.052708133,0.052814096,0.052934457,0.053111782,0.053204068,0.053344099,0.053481696,0.053551276,0.053566215,0.053507952,0.053620137,0.053618908,0.053607829,0.053586744,0.053624836,0.053709051
New England,USD2022/kWh-equivalent,electricity,0.231469945,0.238505915,0.225059485,0.222044491,0.220223386,0.219909304,0.220822437,0.222107768,0.221255201,0.222965696,0.225431372,0.227378846,0.235241522,0.231573294,0.237934491,0.239428392,0.242744549,0.243494679,0.244776181,0.246109034,0.245924055,0.24638773,0.243652631,0.243157474,0.243572249,0.242487365,0.243144898,0.238854887,0.238364495
Middle Atlantic,USD2022/kWh-equivalent,propane,0.115173379,0.123525249,0.124569239,0.12031744,0.115958505,0.112440584,0.110427205,0.109663212,0.110011741,0.111150669,0.112984655,0.115315785,0.117647853,0.119516679,0.120916881,0.122164457,0.12377284,0.12455471,0.125827932,0.127075208,0.12796187,0.128413113,0.128519795,0.128751747,0.128836741,0.128977676,0.129292392,0.129385092,0.129312952
Middle Atlantic,USD2022/kWh-equivalent,fuelOil,0.123784375,0.115582724,0.111576471,0.106019942,0.104501321,0.103031003,0.102175683,0.102500195,0.102553242,0.103179867,0.103501628,0.103948072,0.104097215,0.104764386,0.104806846,0.10526184,0.105589915,0.105750321,0.105923137,0.106475382,0.106464041,0.106872215,0.106567532,0.106704945,0.10742185,0.107545768,0.107677754,0.107925553,0.10795073
Middle Atlantic,USD2022/kWh-equivalent,naturalGas,0.047909116,0.046100997,0.041257894,0.03912716,0.037376802,0.036097461,0.035283171,0.035544311,0.035165587,0.035188853,0.035213102,0.035472126,0.035495608,0.035515003,0.035539747,0.035768556,0.036300222,0.036336741,0.03648702,0.036790078,0.036792123,0.036681553,0.036291778,0.036722706,0.036526324,0.036137427,0.03574529,0.035758645,0.036107795
Middle Atlantic,USD2022/kWh-equivalent,electricity,0.17214773,0.165713392,0.173838788,0.172228959,0.17021886,0.170570659,0.170977311,0.17206502,0.173163573,0.174606075,0.177482215,0.179748457,0.181626812,0.18282956,0.183647597,0.184596365,0.186779232,0.189702266,0.190984249,0.192717177,0.194155058,0.195133157,0.195147751,0.195396137,0.195070532,0.194757324,0.194498055,0.192510311,0.190817055
East North Central,USD2022/kWh-equivalent,propane,0.089083276,0.095543208,0.096350713,0.093062072,0.089690563,0.086969556,0.085412263,0.084821331,0.085090898,0.085971833,0.087390358,0.089193437,0.090997215,0.0924427,0.09352572,0.094490689,0.095734724,0.096339481,0.097324259,0.098288997,0.098974802,0.099323833,0.099406345,0.099585758,0.099651498,0.099760498,0.100003942,0.100075621,0.100019826
East North Central,USD2022/kWh-equivalent,fuelOil,0.092192788,0.082624174,0.078409468,0.072280498,0.070128594,0.068112396,0.066386297,0.066726631,0.066660215,0.06727686,0.067526229,0.067777027,0.068112188,0.068388628,0.068677648,0.069019266,0.06931558,0.069499546,0.069727099,0.07030815,0.070373007,0.070795788,0.070523102,0.070924532,0.071707826,0.071762976,0.0719207,0.072185635,0.072223372
