state_region,location_map,source,fuel_type,base_units,2018_nominal_unit_price,2019_nominal_unit_price,2020_nominal_unit_price,2021_nominal_unit_price,2022_nominal_unit_price
National,National,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",10.50,10.51,10.78,12.18,14.75
AL,AL,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",15.22,15.63,16.01,15.72,17.36
AK,AK,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",10.99,11.11,11.14,10.94,11.08
AZ,AZ,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",15.35,13.46,13.10,15.52,17.81
AR,AR,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",11.77,11.05,12.28,12.55,16.78
CA,CA,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",12.30,12.95,14.14,16.34,20.15
CO,CO,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",7.74,7.77,7.22,9.11,12.72
CT,CT,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",13.92,14.61,14.68,16.06,18.36
DE,DE,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",12.60,12.10,12.95,13.14,15.00
DC,DC,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",11.78,12.81,11.92,14.29,16.68
FL,FL,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",21.34,21.66,21.38,22.90,26.21
GA,GA,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",13.98,14.88,15.45,15.91,18.06
HI,HI,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",43.48,44.14,37.75,46.99,57.46
ID,ID,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",7.11,6.50,6.73,7.00,7.97
IL,IL,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",8.15,8.04,7.94,10.51,13.80
IN,IN,EIA Average Residential Price,naturalGas,"NOMINAL, dollars per cf",8.72,8.68,8.59,10.05,11.60
