State,City,Material,Installation,Average
United States,+30 City Average,4.2,1.2,3.0
Alabama,Birmingham,5.18,0.42,3.38
Alabama,Huntsville,4.97,0.56,3.38
Alabama,Mobile,5.41,0.29,3.55
Alabama,Montgomery,5.44,0.98,3.87
Alabama,Tuscaloosa,4.97,0.14,3.26
Alaska,Anchorage,4.26,0.97,2.94
Alaska,Fairbanks,4.31,0.52,2.74
Alaska,Juneau,4.03,0.97,2.69
Arizona,Flagstaff,5.25,1.12,3.85
Arizona,Mesa/Tempe,4.16,2.22,3.44
Arizona,Phoenix,4.1,1.37,3.17
Arizona,Prescott,5.17,2.23,4.13
Arizona,Tucson,4.1,0.98,3.01
Arkansas,Fort Smith,4.52,0.0,3.06
Arkansas,Jonesboro,4.54,9.09,6.05
Arkansas,Little Rock,4.61,0.15,3.02
Arkansas,Pine Bluff,4.24,0.0,2.9
Arkansas,Texarkana,4.08,6.46,4.84
California,Anaheim,4.45,2.13,3.34
California,Bakersﬁeld,5.0,1.68,3.37
California,Fresno,4.81,2.32,3.6
California,Los Angeles,4.66,1.69,3.21
California,Oakland,5.36,2.71,3.97
California,Oxnard,4.63,1.81,3.27
California,Redding,3.67,2.36,3.03
California,Riverside,4.45,1.57,3.07
California,Sacramento,5.19,2.49,3.86
California,San Diego,4.32,2.81,3.59
California,San Francisco,5.27,2.72,3.89
California,San Jose,4.41,3.49,3.89
California,Santa Barbara,4.66,1.58,3.2
California,Stockton,4.49,2.6,3.53
California,Vallejo,5.13,2.47,3.74
Colorado,Colorado Springs,4.3,0.14,2.83
Colorado,Denver,4.22,2.02,3.56
Colorado,Fort Collins,4.15,2.44,3.47
Colorado,Grand Junction,5.07,0.55,3.42
Colorado,Greeley,4.27,2.01,3.4
Colorado,Pueblo,5.17,0.14,3.52
Connecticut,Bridgeport,4.41,1.01,2.82
Connecticut,Bristol,4.34,0.93,2.74
Connecticut,Hartford,4.53,1.01,2.82
Connecticut,New Britain,4.36,0.93,2.74
Connecticut,New Haven,4.49,1.01,2.71
Connecticut,Norwalk,4.43,0.93,2.73
Connecticut,Stamford,4.42,0.88,2.75
Connecticut,Waterbury,4.43,1.01,2.82
D.C.,Washington,3.37,1.94,2.83
Delaware,Wilmington,3.97,0.27,2.3
Florida,Daytona Beach,4.88,0.14,3.05
Florida,Jacksonville,4.79,0.15,3.24
Florida,Melbourne,4.84,0.0,3.21
Florida,Miami,4.59,0.3,2.99
Florida,Orlando,4.6,0.0,3.07
Florida,Panama City,4.92,1.25,3.72
Florida,Pensacola,4.69,0.3,3.26
Florida,St. Petersburg,4.14,0.61,2.96
Florida,Tampa,4.34,0.15,2.84
Georgia,Albany,5.88,0.28,3.86
Georgia,Atlanta,4.04,0.93,2.81
Georgia,Augusta,4.02,0.14,2.66
Georgia,Columbus,5.99,0.28,3.86
Georgia,Macon,5.86,0.14,3.63
Georgia,Savannah,5.96,0.82,4.07
Georgia,Valdosta,5.98,2.11,4.71
Hawaii,Honolulu,3.8,0.08,2.17
Hawaii States & Poss.,Guam,4.32,0.19,3.34
Idaho,Boise,5.32,3.15,4.51
Idaho,Lewiston,4.86,0.0,3.07
Idaho,Pocatello,5.36,2.42,4.28
Idaho,Twin Falls,5.4,0.91,3.72
Illinois,Chicago,3.05,1.57,2.32
Illinois,Decatur,4.84,0.09,2.66
Illinois,East St. Louis,4.77,1.98,3.44
Illinois,Joliet,3.11,0.14,1.61
Illinois,Peoria,4.6,0.09,2.51
Illinois,Rockford,4.65,0.08,2.35
Illinois,Springﬁeld,4.9,2.69,3.92
Indiana,Anderson,5.21,0.12,3.23
Indiana,Bloomington,5.02,3.61,4.43
Indiana,Evansville,4.93,0.12,2.97
Indiana,Fort Wayne,5.29,0.0,3.27
Indiana,Gary,5.35,0.09,2.94
Indiana,Indianapolis,4.76,0.0,2.83
Indiana,Muncie,4.99,0.0,3.14
Indiana,South Bend,6.06,0.12,3.72
Indiana,Terre Haute,4.89,0.12,2.97
Iowa,Cedar Rapids,5.13,0.12,3.14
Iowa,Council Bluffs,5.19,0.12,3.31
Iowa,Davenport,5.08,0.1,2.9
Iowa,Des Moines,6.15,0.34,3.77
Iowa,Dubuque,5.18,0.12,3.1
Iowa,Sioux City,5.05,6.23,5.49
Iowa,Waterloo,6.03,0.13,3.71
Kansas,Kansas City,5.42,2.03,4.02
Kansas,Salina,4.95,3.57,4.39
Kansas,Topeka,5.57,0.26,3.61
Kansas,Wichita,5.07,4.66,4.91
Kentucky,Lexington,5.03,0.13,3.09
Kentucky,Louisville,5.58,0.13,3.46
Kentucky,Owensboro,4.86,0.0,2.9
Louisiana,Alexandria,4.14,0.15,2.74
Louisiana,Baton Rouge,5.38,0.14,3.53
Louisiana,Lake Charles,5.22,0.14,3.43
Louisiana,Monroe,4.04,0.15,2.77
Louisiana,New Orleans,5.33,0.14,3.46
Louisiana,Shreveport,4.29,0.0,2.85
Maine,Augusta,6.62,5.05,5.94
Maine,Bangor,6.15,2.99,4.91
Maine,Lewiston,6.23,2.97,4.99
Maine,Portland,6.09,2.97,4.92
Maryland,Baltimore,3.36,0.12,2.12
Maryland,Hagerstown,3.49,0.34,2.26
Massachusetts,Boston,4.73,0.15,2.46
Massachusetts,Brockton,5.2,0.5,2.92
Massachusetts,Fall River,5.21,0.43,2.95
Massachusetts,Hyannis,5.14,0.43,2.89
Massachusetts,Lawrence,5.17,0.48,2.84
Massachusetts,Lowell,5.11,0.48,2.86
Massachusetts,New Bedford,5.25,0.51,2.96
Massachusetts,Pittsﬁeld,5.1,0.19,2.9
Massachusetts,Springﬁeld,5.19,0.36,2.93
Massachusetts,Worcester,5.19,0.42,2.83
Michigan,Ann Arbor,4.73,0.69,3.03
Michigan,Dearborn,4.85,0.68,3.02
Michigan,Detroit,5.09,0.1,2.86
Michigan,Flint,4.85,0.11,2.86
Michigan,Grand Rapids,5.46,0.12,3.31
Michigan,Kalamazoo,5.33,0.0,3.25
Michigan,Lansing,4.6,0.11,2.88
Michigan,Muskegon,5.42,2.24,4.08
Michigan,Saginaw,4.87,0.11,2.92
