fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,ground level,31153.70630119259625846360454014
01001,AL,so2,AP2,annual,ground level,17013.52008723579335161766473921
01001,AL,nox,AP2,annual,ground level,2253.330439299890543263188053415
01001,AL,pm25,EASIUR,annual,ground level,89706.54924600965360439369292216
01001,AL,so2,EASIUR,annual,ground level,17258.37439599273266822305444875
01001,AL,nox,EASIUR,annual,ground level,4187.920973990229483423463563415
01001,AL,pm25,EASIUR,winter,ground level,106848.49649481171407180814883049
01001,AL,so2,EASIUR,winter,ground level,18731.43514281316026268340891376
01001,AL,nox,EASIUR,winter,ground level,9963.210811700697728264554715573
01001,AL,pm25,EASIUR,spring,ground level,78759.52852866556859285581392255
01001,AL,so2,EASIUR,spring,ground level,22968.89496008237830433061230045
01001,AL,nox,EASIUR,spring,ground level,3742.825864658715781426976360532
01001,AL,pm25,EASIUR,summer,ground level,73795.47074508864361816500790609
01001,AL,so2,EASIUR,summer,ground level,17507.05606566215351016731899596
01001,AL,nox,EASIUR,summer,ground level,1187.9743125232215584079424808945
01001,AL,pm25,EASIUR,fall,ground level,99422.70121547254288050851289392
01001,AL,so2,EASIUR,fall,ground level,9826.111415413427426219352161097
01001,AL,nox,EASIUR,fall,ground level,1857.672907078319179153702730558
01001,AL,pm25,InMAP,annual,ground level,44913.49718711080476696338534598
01001,AL,so2,InMAP,annual,ground level,16263.35986033005828350322561102
01001,AL,nox,InMAP,annual,ground level,7192.037710063899823600769871613
01003,AL,pm25,AP2,annual,ground level,72624.10847562253364413453313346
01003,AL,so2,AP2,annual,ground level,31784.2565328040874309247557844
01003,AL,nox,AP2,annual,ground level,2250.285045479205916212061468224
01003,AL,pm25,EASIUR,annual,ground level,88666.676352289845491854830787
01003,AL,so2,EASIUR,annual,ground level,16139.79825297593896420873283654
01003,AL,nox,EASIUR,annual,ground level,3319.938314106745638260173444739
01003,AL,pm25,EASIUR,winter,ground level,96931.00942069520835947903485554
01003,AL,so2,EASIUR,winter,ground level,19848.28987539496600063419990274
01003,AL,nox,EASIUR,winter,ground level,6487.627570113031466336441546255
01003,AL,pm25,EASIUR,spring,ground level,84971.88655541197743817643674986
01003,AL,so2,EASIUR,spring,ground level,20623.46009090605140717720938422
01003,AL,nox,EASIUR,spring,ground level,4534.412545966408763877213297701
01003,AL,pm25,EASIUR,summer,ground level,83507.21627160997340285209658298
01003,AL,so2,EASIUR,summer,ground level,15579.6685738475047393388748436
01003,AL,nox,EASIUR,summer,ground level,1180.7258488609040534838977795409
01003,AL,pm25,EASIUR,fall,ground level,89256.59316144207751267446682403
01003,AL,so2,EASIUR,fall,ground level,8507.774471755219184260918402041
01003,AL,nox,EASIUR,fall,ground level,1076.9872914866295540889038673237
01003,AL,pm25,InMAP,annual,ground level,63830.69648761314044925714924719
01003,AL,so2,InMAP,annual,ground level,17135.58922453532080653846645365
01003,AL,nox,InMAP,annual,ground level,9793.769100588510206597409929005
01005,AL,pm25,AP2,annual,ground level,25571.95735775309350085706548185
01005,AL,so2,AP2,annual,ground level,16932.46970069355776019424214391
01005,AL,nox,AP2,annual,ground level,2457.190894948540776031663603083
01005,AL,pm25,EASIUR,annual,ground level,83249.94725995785391703041990363
01005,AL,so2,EASIUR,annual,ground level,16190.92209532396930205834960627
01005,AL,nox,EASIUR,annual,ground level,3715.048343166984629500441178526
01005,AL,pm25,EASIUR,winter,ground level,94356.68656263904163689168687146
01005,AL,so2,EASIUR,winter,ground level,17426.48278011501198652992906851
