fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,high stack,17467.70326871646113815842880701
01001,AL,so2,AP2,annual,high stack,13603.2922498288878340033104828
01001,AL,nox,AP2,annual,high stack,2130.70450283765402055812060833
01001,AL,pm25,EASIUR,annual,high stack,47246.62349822274946099984293836
01001,AL,so2,EASIUR,annual,high stack,16113.08657198972743937721165278
01001,AL,nox,EASIUR,annual,high stack,2516.264898659795350993158012823
01001,AL,pm25,EASIUR,winter,high stack,62473.73396285943064883302469463
01001,AL,so2,EASIUR,winter,high stack,15457.42996638299152170996593724
01001,AL,nox,EASIUR,winter,high stack,5664.21013899279224730376825325
01001,AL,pm25,EASIUR,spring,high stack,38141.39262955651288320508795497
01001,AL,so2,EASIUR,spring,high stack,22241.09711474881306622886566
01001,AL,nox,EASIUR,spring,high stack,2278.587270319055763042218024491
01001,AL,pm25,EASIUR,summer,high stack,34557.50275092765194571207041137
01001,AL,so2,EASIUR,summer,high stack,15917.03719308063591829996848598
01001,AL,nox,EASIUR,summer,high stack,812.6667974991520565591543223988
01001,AL,pm25,EASIUR,fall,high stack,53813.86464954711185777461242129
01001,AL,so2,EASIUR,fall,high stack,10836.782013747093844490385510937
01001,AL,nox,EASIUR,fall,high stack,1309.5953878281798845251185697963
01001,AL,pm25,InMAP,annual,high stack,22893.25649295808372973635803639
01001,AL,so2,InMAP,annual,high stack,15197.44952698801712069416530361
01001,AL,nox,InMAP,annual,high stack,5111.169577094593293463182644957
01003,AL,pm25,AP2,annual,high stack,22144.17607531137883108950457006
01003,AL,so2,AP2,annual,high stack,13639.481519616043036590811789459
01003,AL,nox,AP2,annual,high stack,1948.312312356073770364533311885
01003,AL,pm25,EASIUR,annual,high stack,45650.97285766423932688446940566
01003,AL,so2,EASIUR,annual,high stack,15467.35367580259355538825879448
01003,AL,nox,EASIUR,annual,high stack,2245.018396719471933277977518689
01003,AL,pm25,EASIUR,winter,high stack,55830.33152205911299950949041338
01003,AL,so2,EASIUR,winter,high stack,17732.02506560610655602713251697
01003,AL,nox,EASIUR,winter,high stack,4519.559510464789933698035891244
01003,AL,pm25,EASIUR,spring,high stack,40500.51838899888232242784023757
01003,AL,so2,EASIUR,spring,high stack,19376.26677882756550262454642593
01003,AL,nox,EASIUR,spring,high stack,2822.64132993944146284474950335
01003,AL,pm25,EASIUR,summer,high stack,38086.07532859557898612640778127
01003,AL,so2,EASIUR,summer,high stack,15445.31828624562389485984219921
01003,AL,nox,EASIUR,summer,high stack,825.4314855769973172931057229236
01003,AL,pm25,EASIUR,fall,high stack,48186.96619100381876218600359719
01003,AL,so2,EASIUR,fall,high stack,9315.804572530816810414395391748
01003,AL,nox,EASIUR,fall,high stack,812.4412608966590192760189572384
01003,AL,pm25,InMAP,annual,high stack,27696.02451312074430122335543365
01003,AL,so2,InMAP,annual,high stack,16481.42779323926878714315692856
01003,AL,nox,InMAP,annual,high stack,5818.405552180256345580115420484
01005,AL,pm25,AP2,annual,high stack,15807.94762490745829359987960522
01005,AL,so2,AP2,annual,high stack,14141.382275567845686480439631518
01005,AL,nox,AP2,annual,high stack,2046.067532616030717349807090905
01005,AL,pm25,EASIUR,annual,high stack,44427.34217080605189638568570944
01005,AL,so2,EASIUR,annual,high stack,16397.68868968673031442341195857
01005,AL,nox,EASIUR,annual,high stack,2364.653545029806506896809446069
01005,AL,pm25,EASIUR,winter,high stack,56329.3763026606665477675210078
01005,AL,so2,EASIUR,winter,high stack,14201.11042340055765125793990404
01005,AL,nox,EASIUR,winter,high stack,4987.700854630971787725952612754
01005,AL,pm25,EASIUR,spring,high stack,37112.01773341636053314534582284
01005,AL,so2,EASIUR,spring,high stack,21338.24952458319037438091653862
01005,AL,nox,EASIUR,spring,high stack,2280.714590532526661300139311612
01005,AL,pm25,EASIUR,summer,high stack,36994.17096499055663745296656143
01005,AL,so2,EASIUR,summer,high stack,19145.97181556210991450993008237
01005,AL,nox,EASIUR,summer,high stack,1150.3638497747307575468647905094
01005,AL,pm25,EASIUR,fall,high stack,47273.80368215662386717690944569
01005,AL,so2,EASIUR,fall,high stack,10905.422995201005215849946055014
01005,AL,nox,EASIUR,fall,high stack,1039.8348851810040837261454761801
01005,AL,pm25,InMAP,annual,high stack,20918.61610704250682436230729991
01005,AL,so2,InMAP,annual,high stack,14001.125436045872198064560769586
01005,AL,nox,InMAP,annual,high stack,4885.33128996625972219891272171
01007,AL,pm25,AP2,annual,high stack,15883.29790524483727498018409154
01007,AL,so2,AP2,annual,high stack,14015.766985654923367231477742239
01007,AL,nox,AP2,annual,high stack,2386.359069585997642008810454168
01007,AL,pm25,EASIUR,annual,high stack,51131.76243530016056130558530998
01007,AL,so2,EASIUR,annual,high stack,17086.68481037584657033455941239
01007,AL,nox,EASIUR,annual,high stack,2703.446523975770143453443162454
01007,AL,pm25,EASIUR,winter,high stack,67799.2408670310849375442712667
01007,AL,so2,EASIUR,winter,high stack,16935.317992172931827927704661
01007,AL,nox,EASIUR,winter,high stack,5821.151686191279904841266534414
01007,AL,pm25,EASIUR,spring,high stack,44467.82758673853342091183820711
01007,AL,so2,EASIUR,spring,high stack,23065.48901069947931913823979997
01007,AL,nox,EASIUR,spring,high stack,2815.301279752191937583752257536
01007,AL,pm25,EASIUR,summer,high stack,36839.89238051487782731405655208
01007,AL,so2,EASIUR,summer,high stack,17137.68984072525504378003062609
01007,AL,nox,EASIUR,summer,high stack,1000.6862375574744744245936296911
01007,AL,pm25,EASIUR,fall,high stack,55420.08890691614605945217521403
01007,AL,so2,EASIUR,fall,high stack,11208.242397905545785407516799792
01007,AL,nox,EASIUR,fall,high stack,1176.6468924021604027268720925811
01007,AL,pm25,InMAP,annual,high stack,33731.14212488280721827007254329
01007,AL,so2,InMAP,annual,high stack,20102.42953080739497805067927071
01007,AL,nox,InMAP,annual,high stack,7105.509336339395164502186064188
01009,AL,pm25,AP2,annual,high stack,23502.41851703110049589203256152
01009,AL,so2,AP2,annual,high stack,17725.05665925224164092738731836
01009,AL,nox,AP2,annual,high stack,3064.801401392260864255634140365
01009,AL,pm25,EASIUR,annual,high stack,59754.42720603439392946002219084
01009,AL,so2,EASIUR,annual,high stack,18215.86149522130552835115131335
01009,AL,nox,EASIUR,annual,high stack,3607.482302841363089512337846149
01009,AL,pm25,EASIUR,winter,high stack,73470.17674186758362537689362511
01009,AL,so2,EASIUR,winter,high stack,17462.63753565282300267751760246
01009,AL,nox,EASIUR,winter,high stack,7400.03452198827542915889683862
01009,AL,pm25,EASIUR,spring,high stack,52446.91498871679273553800798308
01009,AL,so2,EASIUR,spring,high stack,24959.84728305208131103793674621
01009,AL,nox,EASIUR,spring,high stack,3840.944492909546423319447490228
01009,AL,pm25,EASIUR,summer,high stack,48485.23792866088384031897399227
01009,AL,so2,EASIUR,summer,high stack,19111.30235558428228815992048316
01009,AL,nox,EASIUR,summer,high stack,1288.0835120761605663579768400337
01009,AL,pm25,EASIUR,fall,high stack,64615.37916489246077084350129849
01009,AL,so2,EASIUR,fall,high stack,11329.65880659589025729194228598
01009,AL,nox,EASIUR,fall,high stack,1900.866684391474296840148859782
01009,AL,pm25,InMAP,annual,high stack,43228.30373293946971957897109299
01009,AL,so2,InMAP,annual,high stack,28074.50172854363344537475154367
01009,AL,nox,InMAP,annual,high stack,9733.591710032875157084106818289
01011,AL,pm25,AP2,annual,high stack,16823.14294460715064397398807617
01011,AL,so2,AP2,annual,high stack,14201.484771807138820741165888183
01011,AL,nox,AP2,annual,high stack,2092.491375117089055303624557359
01011,AL,pm25,EASIUR,annual,high stack,46097.00689325715813055505552793
01011,AL,so2,EASIUR,annual,high stack,16515.95683787895336264882195949
01011,AL,nox,EASIUR,annual,high stack,2414.004837330153454955215816959
01011,AL,pm25,EASIUR,winter,high stack,58130.40775014641515190579894559
01011,AL,so2,EASIUR,winter,high stack,13667.766357958711408845082624217
01011,AL,nox,EASIUR,winter,high stack,5031.485926424919430823018343011
01011,AL,pm25,EASIUR,spring,high stack,38814.92283839256337674725586223
01011,AL,so2,EASIUR,spring,high stack,21835.98084926329121080366014627
01011,AL,nox,EASIUR,spring,high stack,2306.039623832934203111555518527
01011,AL,pm25,EASIUR,summer,high stack,38583.16668973390456832605147654
01011,AL,so2,EASIUR,summer,high stack,19447.87753707244685696911340193
01011,AL,nox,EASIUR,summer,high stack,1159.1416727016198878607318573163
01011,AL,pm25,EASIUR,fall,high stack,48859.530294755168408291963285
01011,AL,so2,EASIUR,fall,high stack,11112.202607221102516350313021481
01011,AL,nox,EASIUR,fall,high stack,1159.3521263611402980255575489817
01011,AL,pm25,InMAP,annual,high stack,22447.300403960084248097942115
01011,AL,so2,InMAP,annual,high stack,15016.30018123637356538827792722
01011,AL,nox,InMAP,annual,high stack,5313.88210118134852625710825259
01013,AL,pm25,AP2,annual,high stack,13089.41006277288072675219665826
01013,AL,so2,AP2,annual,high stack,12622.627404964672906592462453466
01013,AL,nox,AP2,annual,high stack,2001.01747975647995563671865184
01013,AL,pm25,EASIUR,annual,high stack,41502.68928939014772393816242299
01013,AL,so2,EASIUR,annual,high stack,15886.07586562549693593554485758
01013,AL,nox,EASIUR,annual,high stack,2236.016521332081848731789640384
01013,AL,pm25,EASIUR,winter,high stack,54111.62832624204405456291450829
01013,AL,so2,EASIUR,winter,high stack,14131.84252569654104262414272678
01013,AL,nox,EASIUR,winter,high stack,4788.734786136938181967610797233
01013,AL,pm25,EASIUR,spring,high stack,33315.79503272065773595304408995
01013,AL,so2,EASIUR,spring,high stack,20131.72773319281294350282244113
01013,AL,nox,EASIUR,spring,high stack,2133.006070397572817117263514513
01013,AL,pm25,EASIUR,summer,high stack,33325.42797156487061709541055467
01013,AL,so2,EASIUR,summer,high stack,18171.27816657083874967856288737
01013,AL,nox,EASIUR,summer,high stack,1001.0815477704906845853209846979
01013,AL,pm25,EASIUR,fall,high stack,45257.90582703301848814128053905
01013,AL,so2,EASIUR,fall,high stack,11109.455037041809533360380188599
01013,AL,nox,EASIUR,fall,high stack,1021.2436810233053756637429261095
01013,AL,pm25,InMAP,annual,high stack,22491.71387723830017931666917738
01013,AL,so2,InMAP,annual,high stack,15066.48696011741593715697481772
01013,AL,nox,InMAP,annual,high stack,5082.430973888648039863039737967
04001,AZ,pm25,AP2,annual,high stack,10043.209260757557167168926264082
04001,AZ,so2,AP2,annual,high stack,10896.033212443441317753036189524
04001,AZ,nox,AP2,annual,high stack,4513.216000735366188075961932157
04001,AZ,pm25,EASIUR,annual,high stack,11265.474210578135411257310878348
04001,AZ,so2,EASIUR,annual,high stack,8009.005387038701652945928072496
04001,AZ,nox,EASIUR,annual,high stack,743.0223397126981004760784997343
04001,AZ,pm25,EASIUR,winter,high stack,17375.28273087378283512267979927
04001,AZ,so2,EASIUR,winter,high stack,15355.55967777424084600236539001
04001,AZ,nox,EASIUR,winter,high stack,2059.84754412259470009514670883
04001,AZ,pm25,EASIUR,spring,high stack,4659.907252078296133976306200586
04001,AZ,so2,EASIUR,spring,high stack,3880.649942350001252947637889873
04001,AZ,nox,EASIUR,spring,high stack,192.964096071602249959204325371
04001,AZ,pm25,EASIUR,summer,high stack,5564.662991134352283409069614904
04001,AZ,so2,EASIUR,summer,high stack,5182.519929121484190186404276938
04001,AZ,nox,EASIUR,summer,high stack,108.04660928379417811304216507855
04001,AZ,pm25,EASIUR,fall,high stack,17462.04386822628469760593366134
04001,AZ,so2,EASIUR,fall,high stack,7617.291998909109373494762360281
04001,AZ,nox,EASIUR,fall,high stack,611.2311093727918322114970708443
04001,AZ,pm25,InMAP,annual,high stack,14028.828285209056333043598921754
04001,AZ,so2,InMAP,annual,high stack,9220.34345869408742270029434179
04001,AZ,nox,InMAP,annual,high stack,6909.08223321465933834857141717
05001,AR,pm25,AP2,annual,high stack,18410.06211896118077828294137303
05001,AR,so2,AP2,annual,high stack,19215.25015500075313331298728802
05001,AR,nox,AP2,annual,high stack,4849.336533024539400963031198297
05001,AR,pm25,EASIUR,annual,high stack,41156.43911045921366381804396842
05001,AR,so2,EASIUR,annual,high stack,17430.24218779656639322624265728
05001,AR,nox,EASIUR,annual,high stack,3247.857332888823233078573855025
05001,AR,pm25,EASIUR,winter,high stack,53261.30484247232390392336830466
05001,AR,so2,EASIUR,winter,high stack,20444.29276142518615691212575287
05001,AR,nox,EASIUR,winter,high stack,8130.432420901501446864016299852
05001,AR,pm25,EASIUR,spring,high stack,31031.92327785727998997713754172
05001,AR,so2,EASIUR,spring,high stack,20296.65155013154412628707972831
05001,AR,nox,EASIUR,spring,high stack,2360.703732052222913764039245485
05001,AR,pm25,EASIUR,summer,high stack,29811.27455550390561025970024089
05001,AR,so2,EASIUR,summer,high stack,16298.09122174557946917389673127
05001,AR,nox,EASIUR,summer,high stack,851.5874105754819031538973705058
05001,AR,pm25,EASIUR,fall,high stack,50521.253766003490405349257922
05001,AR,so2,EASIUR,fall,high stack,12681.933217884333481548817569204
05001,AR,nox,EASIUR,fall,high stack,1648.705768026089573617088266969
05001,AR,pm25,InMAP,annual,high stack,24041.39696819512048394268533618
05001,AR,so2,InMAP,annual,high stack,16252.13721575355743629440858217
05001,AR,nox,InMAP,annual,high stack,9403.937589895112181341810448897
05003,AR,pm25,AP2,annual,high stack,15608.25817393967439972198222047
