fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,high stack,44878.66054328543743611934860836867904798
01001,AL,so2,AP2,annual,high stack,34949.7280726177225291081808421860683944
01001,AL,nox,AP2,annual,high stack,5472.90781541934981588000986062596602934
01001,AL,pm25,EASIUR,annual,high stack,121390.42043710811662973727573541364715528
01001,AL,so2,EASIUR,annual,high stack,41398.20837613721969687132670367853353044
01001,AL,nox,EASIUR,annual,high stack,6463.538241316427284625326201099753836954
01001,AL,pm25,EASIUR,winter,high stack,160513.83427373909415741082847549380891674
01001,AL,so2,EASIUR,winter,high stack,39713.61268246007941834130124023835581352
01001,AL,nox,EASIUR,winter,high stack,14551.63641717340245416886663719592364350
01001,AL,pm25,EASIUR,spring,high stack,97996.11222740565767234334668959866530406
01001,AL,so2,EASIUR,spring,high stack,57143.06640526833760046653360406056068
01001,AL,nox,EASIUR,spring,high stack,5852.866884142057790607250950352531915218
01001,AL,pm25,EASIUR,summer,high stack,88787.93007149748494674369627275357807126
01001,AL,so2,EASIUR,summer,high stack,40894.49357080446219138789665360280970404
01001,AL,nox,EASIUR,summer,high stack,2086.4390091413322617030129372641750437624
01001,AL,pm25,EASIUR,fall,high stack,138263.80517578948333141676167331660995542
01001,AL,so2,EASIUR,fall,high stack,27841.660846017604361013685452370049627526
01001,AL,nox,EASIUR,fall,high stack,3363.2106548089128999670019304339251134674
01001,AL,pm25,InMAP,annual,high stack,58818.67658097280704268917633600466434522
01001,AL,so2,InMAP,annual,high stack,39045.63812855502042027204686030779697478
01001,AL,nox,InMAP,annual,high stack,13130.694812931719273050057318146952683486
01003,AL,pm25,AP2,annual,high stack,56894.04463950434663822088097469588443188
01003,AL,so2,AP2,annual,high stack,35042.710111568350275008245336744268946882
01003,AL,nox,AP2,annual,high stack,5004.282782104419442618231448269835263230
01003,AL,pm25,EASIUR,annual,high stack,117290.67344346565519030615296329172748068
01003,AL,so2,EASIUR,annual,high stack,39739.10992905320229820501738226136178704
01003,AL,nox,EASIUR,annual,high stack,5766.617497765296494896815655222682314422
01003,AL,pm25,EASIUR,winter,high stack,143444.76633873369393428209486872708372924
01003,AL,so2,EASIUR,winter,high stack,45557.78946073643832318006637466870058006
01003,AL,nox,EASIUR,winter,high stack,11610.655569739239933217046636517488010312
01003,AL,pm25,EASIUR,spring,high stack,104057.47584551758334373293288694714485886
01003,AL,so2,EASIUR,spring,high stack,49782.38277036073577045428489000921551414
01003,AL,nox,EASIUR,spring,high stack,7250.71923265296870397445850570464376330
01003,AL,pm25,EASIUR,summer,high stack,97853.98403684407963603285805204806471146
01003,AL,so2,EASIUR,summer,high stack,39682.49382538134453591819010057618790358
01003,AL,nox,EASIUR,summer,high stack,2119.2356566290383534968949786913346324728
01003,AL,pm25,EASIUR,fall,high stack,123806.46755276838346372843079118250618362
01003,AL,so2,EASIUR,fall,high stack,23933.773659733618793336505316348609414104
01003,AL,nox,EASIUR,fall,high stack,2085.8595320399389888988624999772628516032
01003,AL,pm25,InMAP,annual,high stack,71158.55427809332307039237056514259576270
01003,AL,so2,InMAP,annual,high stack,42344.59712569698057717059867297442241488
01003,AL,nox,InMAP,annual,high stack,14947.814731887388647054732057713327039832
01005,AL,pm25,AP2,annual,high stack,40614.20688536860991933854639933764355356
01005,AL,so2,AP2,annual,high stack,36332.256872631321248695487959816663908564
01005,AL,nox,AP2,annual,high stack,5255.447830509587196859592488908384029190
01005,AL,pm25,EASIUR,annual,high stack,114146.76706304417991433132380545840790912
01005,AL,so2,EASIUR,annual,high stack,42129.44405314240860980884960970039161686
01005,AL,nox,EASIUR,annual,high stack,6073.999218520654549040840192398949815662
01005,AL,pm25,EASIUR,winter,high stack,144726.9751675084276653213101388559023444
01005,AL,so2,EASIUR,winter,high stack,36485.71796761592502118637265095957803992
01005,AL,nox,EASIUR,winter,high stack,12813.463389672345436403184892455401129292
01005,AL,pm25,EASIUR,spring,high stack,95351.31233918923515962358436439267876232
01005,AL,so2,EASIUR,spring,high stack,54823.35643905463605931831689392784476676
01005,AL,nox,EASIUR,spring,high stack,5858.332663698063522011920674374397211176
01005,AL,pm25,EASIUR,summer,high stack,95048.52554972317799121069497910007534314
01005,AL,so2,EASIUR,summer,high stack,49190.67988797535309950590369178153892926
01005,AL,nox,EASIUR,summer,high stack,2954.0928925403521337615459190195831852612
01005,AL,pm25,EASIUR,fall,high stack,121460.25519575587884116970573948497518662
01005,AL,so2,EASIUR,fall,high stack,28018.021917923570977017911236034219456772
01005,AL,nox,EASIUR,fall,high stack,2670.1079281718757642625710295087158962598
01005,AL,pm25,InMAP,annual,high stack,53745.18130581108508342786078938540604218
01005,AL,so2,InMAP,annual,high stack,35971.891300398832968247120880660351414028
01005,AL,nox,InMAP,annual,high stack,12550.44258530144564031786862300498635858
01007,AL,pm25,AP2,annual,high stack,40807.80633466608201485351691725655216492
01007,AL,so2,AP2,annual,high stack,36009.510217388684795110210493388553877322
01007,AL,nox,AP2,annual,high stack,6129.767791404208755579462046710120693264
01007,AL,pm25,EASIUR,annual,high stack,131372.60969101098252376882542065556485604
01007,AL,so2,EASIUR,annual,high stack,43899.69983634932481958903312304111279322
01007,AL,nox,EASIUR,annual,high stack,6944.468895024981346801149710597032169892
01007,AL,pm25,EASIUR,winter,high stack,174196.7986802572010103956899503509550066
01007,AL,so2,EASIUR,winter,high stack,43510.789104832672691962679635514008878
01007,AL,nox,EASIUR,winter,high stack,14954.870445945130298659613138370558777972
01007,AL,pm25,EASIUR,spring,high stack,114250.78730283643129444734695386507286778
01007,AL,so2,EASIUR,spring,high stack,59261.19810095327451962108230166920061406
01007,AL,nox,EASIUR,spring,high stack,7231.860249412233693158315494428887728128
01007,AL,pm25,EASIUR,summer,high stack,94652.13354083946033048732547291269539184
01007,AL,so2,EASIUR,summer,high stack,44030.74839705584510421566963685537930582
01007,AL,nox,EASIUR,summer,high stack,2569.5222822164706978553893882692538774378
01007,AL,pm25,EASIUR,fall,high stack,142390.71924011083745974493930549353615794
01007,AL,so2,EASIUR,fall,high stack,28796.063742555059115936019019830706550816
01007,AL,nox,EASIUR,fall,high stack,3021.6226025261578745243831060637016696578
01007,AL,pm25,InMAP,annual,high stack,86664.74006600478426568480162483548611142
01007,AL,so2,InMAP,annual,high stack,51648.13175303428800923924522193073706058
01007,AL,nox,InMAP,annual,high stack,18254.804204072401415629986282988737997224
01009,AL,pm25,AP2,annual,high stack,60383.81252825031568486619063978238270096
01009,AL,so2,AP2,annual,high stack,45539.88535173314353826124525275531439528
01009,AL,nox,AP2,annual,high stack,7872.907448346249512982122565943003782270
01009,AL,pm25,EASIUR,annual,high stack,153527.04818303011201201379900858656762632
01009,AL,so2,EASIUR,annual,high stack,46800.92307489355210175484481285226214330
01009,AL,nox,EASIUR,annual,high stack,9267.231705593684023914268672337519111502
01009,AL,pm25,EASIUR,winter,high stack,188767.28279065266605563667041485431363178
01009,AL,so2,EASIUR,winter,high stack,44865.64502261295717343637012160662724708
01009,AL,nox,EASIUR,winter,high stack,19011.53547953088310897764675224574416676
01009,AL,pm25,EASIUR,spring,high stack,134751.66560087092997795388953566058472984
01009,AL,so2,EASIUR,spring,high stack,64128.42243850683391087595745390423020958
01009,AL,nox,EASIUR,spring,high stack,9867.072226778322869731854559528149393144
01009,AL,pm25,EASIUR,summer,high stack,124572.82494245366390876638855481996048946
01009,AL,so2,EASIUR,summer,high stack,49101.60273618380807999666891097980582568
01009,AL,nox,EASIUR,summer,high stack,3307.9396288711287143980673413758406128726
01009,AL,pm25,EASIUR,fall,high stack,166016.41939814356131121548244425737484102
01009,AL,so2,EASIUR,fall,high stack,29108.02210227023603719314784967242210404
01009,AL,nox,EASIUR,fall,high stack,4882.379487194412598715023083657721168836
01009,AL,pm25,InMAP,annual,high stack,111066.04619222457509874196395910390115202
01009,AL,so2,InMAP,annual,high stack,72130.98570302544179731035106889227206666
01009,AL,nox,InMAP,annual,high stack,25007.205097305085582359560937660353235222
01011,AL,pm25,AP2,annual,high stack,43222.57481636001496769493839464320050166
01011,AL,so2,AP2,annual,high stack,36486.679790784133575553103293572520518234
01011,AL,nox,AP2,annual,high stack,5374.725825259382227290673419578632391082
01011,AL,pm25,EASIUR,annual,high stack,118436.68037631420593586380844925526971014
01011,AL,so2,EASIUR,annual,high stack,42433.31350468163362747381293435535171902
01011,AL,nox,EASIUR,annual,high stack,6200.798786733091647176648915256731391882
01011,AL,pm25,EASIUR,winter,high stack,149354.41244895542278557571885902516356682
01011,AL,so2,EASIUR,winter,high stack,35115.383087728363025067159709875327336966
01011,AL,nox,EASIUR,winter,high stack,12925.961521713845973652829730132712502178
01011,AL,pm25,EASIUR,spring,high stack,99726.63103811253329225206851143661770154
01011,AL,so2,EASIUR,spring,high stack,56102.19057112046310762098464810002298146
01011,AL,nox,EASIUR,spring,high stack,5923.400935222023023264772710282895470346
01011,AL,pm25,EASIUR,summer,high stack,99131.17389381625865623200506457080439492
