fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,ground level,80042.46668053381621050731837449344458772
01001,AL,so2,AP2,annual,ground level,43711.71579641616926162549169403309082358
01001,AL,nox,AP2,annual,ground level,5787.973846526057551338561474639782866170
01001,AL,pm25,EASIUR,annual,ground level,230483.82002603174996667384313087286274768
01001,AL,so2,EASIUR,annual,ground level,44340.82638659855426207593590275382335250
01001,AL,nox,EASIUR,annual,ground level,10758.567989708773207791911661380593846170
01001,AL,pm25,EASIUR,winter,ground level,274527.07417711290804198193002006101817702
01001,AL,so2,EASIUR,winter,ground level,48125.59995464972408208504430207029068448
01001,AL,nox,EASIUR,winter,ground level,25597.171470781447608109205505526147481454
01001,AL,pm25,EASIUR,spring,ground level,202357.35290691083936619043834782085796490
01001,AL,so2,EASIUR,spring,ground level,59013.01647613181881546345903692723218910
01001,AL,nox,EASIUR,spring,ground level,9614.973464701640786256372187041560817336
01001,AL,pm25,EASIUR,summer,ground level,189603.06919518083188043686349999416074582
01001,AL,so2,EASIUR,summer,ground level,44979.77071544257923077055205974308416008
01001,AL,nox,EASIUR,summer,ground level,3050.7264397989526333759137874393533241110
01001,AL,pm25,EASIUR,fall,ground level,255447.78382492204737256890574036945091616
01001,AL,so2,EASIUR,fall,ground level,25244.918400170580087157093602094438519206
01001,AL,nox,EASIUR,fall,ground level,4771.400583553145104805463894326804558484
01001,AL,pm25,InMAP,annual,ground level,115395.85788272509861662231087619570798404
01001,AL,so2,InMAP,annual,ground level,41784.30947272963967467174877989824350196
01001,AL,nox,InMAP,annual,ground level,18477.123821553106070825036724104377417374
01003,AL,pm25,AP2,annual,ground level,186593.45742889282005101126501629780838508
01003,AL,so2,AP2,annual,ground level,81662.5559097681882377574904036109597112
01003,AL,nox,AP2,annual,ground level,5780.149236399345224760242453894267732352
01003,AL,pm25,EASIUR,annual,ground level,227812.047357607377311594812353896057826
01003,AL,so2,EASIUR,annual,ground level,41466.83939788771144439048161730507367492
01003,AL,nox,EASIUR,annual,ground level,8528.437402260414536904094771591817972322
01003,AL,pm25,EASIUR,winter,ground level,249045.81481925900221107808588609406743692
01003,AL,so2,EASIUR,winter,ground level,50995.16407843244174274873442487893398252
01003,AL,nox,EASIUR,winter,ground level,16667.264394840493567656574346888600288490
01003,AL,pm25,EASIUR,spring,ground level,218318.92713638597231489164428770527083228
01003,AL,so2,EASIUR,spring,ground level,52986.82922105437943719516929940789379556
01003,AL,nox,EASIUR,spring,ground level,11648.817862973373265006520181017152470798
01003,AL,pm25,EASIUR,summer,ground level,214555.71140478138830203109966987679491004
01003,AL,so2,EASIUR,summer,ground level,40027.6835390256915837125323355046326328
01003,AL,nox,EASIUR,summer,ground level,3032.1027722161092425805717361284627824982
01003,AL,pm25,EASIUR,fall,ground level,229327.73607000277321286118465666213493794
01003,AL,so2,EASIUR,fall,ground level,21857.680753038295693353766917904237970118
01003,AL,nox,EASIUR,fall,ground level,2765.5645790116596800416787274182985562926
01003,AL,pm25,InMAP,annual,ground level,164000.31363829302424532988319960124488362
01003,AL,so2,InMAP,annual,ground level,44025.35122884710412457377155410709772270
01003,AL,nox,InMAP,annual,ground level,25161.820443386956491601117769537866572990
01005,AL,pm25,AP2,annual,ground level,65701.13288949588154729559379591869850630
01005,AL,so2,AP2,annual,ground level,43503.47091491517672309326790910364915418
01005,AL,nox,AP2,annual,ground level,6311.757855960351677729403772924225468434
01005,AL,pm25,EASIUR,annual,ground level,213894.70339321003044488317622133719429874
01005,AL,so2,EASIUR,annual,ground level,41598.19322537492762512629296803249606146
01005,AL,nox,EASIUR,annual,ground level,9543.603951017427897238807172544846824148
01005,AL,pm25,EASIUR,winter,ground level,242431.53965794505769527861436725483650908
01005,AL,so2,EASIUR,winter,ground level,44772.75166202737375007536986680447982498
01005,AL,nox,EASIUR,winter,ground level,22675.343132540200112472892058231456011890
01005,AL,pm25,EASIUR,spring,ground level,193529.63923057229331405551699456868431694
01005,AL,so2,EASIUR,spring,ground level,51339.21946707355437680265454697043821832
01005,AL,nox,EASIUR,spring,ground level,8493.628850984379392036963588640557134578
01005,AL,pm25,EASIUR,summer,ground level,204211.44174941128754933483362889590376154
