"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.230086843966861
2023,"AZNMc","Coal",0.230086843966861
2024,"AZNMc","Coal",0.230086843966861
2025,"AZNMc","Coal",0.230086843966861
2026,"AZNMc","Coal",0.230086843966861
2027,"AZNMc","Coal",0.230086843966861
2028,"AZNMc","Coal",0.230086843966861
2029,"AZNMc","Coal",0.230086843966861
2030,"AZNMc","Coal",0.230086843966861
2031,"AZNMc","Coal",0.230086843966861
2032,"AZNMc","Coal",0.230086843966861
2033,"AZNMc","Coal",0.230086843966861
2034,"AZNMc","Coal",0.230086843966861
2035,"AZNMc","Coal",0.230086843966861
2036,"AZNMc","Coal",0.230086843966861
2037,"AZNMc","Coal",0.230086843966861
2038,"AZNMc","Coal",0.230086843966861
2039,"AZNMc","Coal",0.230086843966861
2040,"AZNMc","Coal",0.230086843966861
2041,"AZNMc","Coal",0.230086843966861
2042,"AZNMc","Coal",0.230086843966861
2043,"AZNMc","Coal",0.230086843966861
2044,"AZNMc","Coal",0.230086843966861
2045,"AZNMc","Coal",0.230086843966861
2046,"AZNMc","Coal",0.230086843966861
2047,"AZNMc","Coal",0.230086843966861
2048,"AZNMc","Coal",0.230086843966861
2049,"AZNMc","Coal",0.230086843966861
2050,"AZNMc","Coal",0.230086843966861
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.209692148829374
2023,"ERCTc","Coal",0.209692148829374
2024,"ERCTc","Coal",0.209692148829374
2025,"ERCTc","Coal",0.209692148829374
2026,"ERCTc","Coal",0.209692148829374
2027,"ERCTc","Coal",0.209692148829374
2028,"ERCTc","Coal",0.209692148829374
2029,"ERCTc","Coal",0.209692148829374
2030,"ERCTc","Coal",0.209692148829374
2031,"ERCTc","Coal",0.209692148829374
2032,"ERCTc","Coal",0.209692148829374
2033,"ERCTc","Coal",0.209692148829374
2034,"ERCTc","Coal",0.209692148829374
2035,"ERCTc","Coal",0.209692148829374
2036,"ERCTc","Coal",0.209692148829374
2037,"ERCTc","Coal",0.209692148829374
2038,"ERCTc","Coal",0.209692148829374
2039,"ERCTc","Coal",0.209692148829374
2040,"ERCTc","Coal",0.209692148829374
2041,"ERCTc","Coal",0.209692148829374
2042,"ERCTc","Coal",0.209692148829374
2043,"ERCTc","Coal",0.209692148829374
2044,"ERCTc","Coal",0.209692148829374
2045,"ERCTc","Coal",0.209692148829374
2046,"ERCTc","Coal",0.209692148829374
2047,"ERCTc","Coal",0.209692148829374
2048,"ERCTc","Coal",0.209692148829374
2049,"ERCTc","Coal",0.209692148829374
2050,"ERCTc","Coal",0.209692148829374
2022,"FRCCc","Coal",0.15837942889841
2023,"FRCCc","Coal",0.15837942889841
2024,"FRCCc","Coal",0.15837942889841
2025,"FRCCc","Coal",0.15837942889841
2026,"FRCCc","Coal",0.15837942889841
2027,"FRCCc","Coal",0.15837942889841
2028,"FRCCc","Coal",0.15837942889841
2029,"FRCCc","Coal",0.15837942889841
2030,"FRCCc","Coal",0.15837942889841
2031,"FRCCc","Coal",0.15837942889841
2032,"FRCCc","Coal",0.15837942889841
2033,"FRCCc","Coal",0.15837942889841
2034,"FRCCc","Coal",0.15837942889841
2035,"FRCCc","Coal",0.15837942889841
2036,"FRCCc","Coal",0.15837942889841
2037,"FRCCc","Coal",0.15837942889841
2038,"FRCCc","Coal",0.15837942889841
2039,"FRCCc","Coal",0.15837942889841
2040,"FRCCc","Coal",0.15837942889841
2041,"FRCCc","Coal",0.15837942889841
2042,"FRCCc","Coal",0.15837942889841
2043,"FRCCc","Coal",0.15837942889841
2044,"FRCCc","Coal",0.15837942889841
2045,"FRCCc","Coal",0.15837942889841
2046,"FRCCc","Coal",0.15837942889841
2047,"FRCCc","Coal",0.15837942889841
2048,"FRCCc","Coal",0.15837942889841
2049,"FRCCc","Coal",0.15837942889841
2050,"FRCCc","Coal",0.15837942889841
2022,"MROEc","Coal",0.275973664250095
2023,"MROEc","Coal",0.275973664250095
2024,"MROEc","Coal",0.275973664250095
2025,"MROEc","Coal",0.275973664250095
2026,"MROEc","Coal",0.275973664250095
2027,"MROEc","Coal",0.275973664250095
2028,"MROEc","Coal",0.275973664250095
2029,"MROEc","Coal",0.275973664250095
2030,"MROEc","Coal",0.275973664250095
2031,"MROEc","Coal",0.275973664250095
2032,"MROEc","Coal",0.275973664250095
2033,"MROEc","Coal",0.275973664250095
2034,"MROEc","Coal",0.275973664250095
2035,"MROEc","Coal",0.275973664250095
2036,"MROEc","Coal",0.275973664250095
2037,"MROEc","Coal",0.275973664250095
2038,"MROEc","Coal",0.275973664250095
2039,"MROEc","Coal",0.275973664250095
2040,"MROEc","Coal",0.275973664250095
2041,"MROEc","Coal",0.275973664250095
2042,"MROEc","Coal",0.275973664250095
2043,"MROEc","Coal",0.275973664250095
2044,"MROEc","Coal",0.275973664250095
2045,"MROEc","Coal",0.275973664250095
2046,"MROEc","Coal",0.275973664250095
2047,"MROEc","Coal",0.275973664250095
2048,"MROEc","Coal",0.275973664250095
2049,"MROEc","Coal",0.275973664250095
2050,"MROEc","Coal",0.275973664250095
2022,"MROWc","Coal",0.295722378540839
2023,"MROWc","Coal",0.295722378540839
2024,"MROWc","Coal",0.295722378540839
2025,"MROWc","Coal",0.295722378540839
2026,"MROWc","Coal",0.295722378540839
2027,"MROWc","Coal",0.295722378540839
2028,"MROWc","Coal",0.295722378540839
2029,"MROWc","Coal",0.295722378540839
2030,"MROWc","Coal",0.295722378540839
2031,"MROWc","Coal",0.295722378540839
2032,"MROWc","Coal",0.295722378540839
2033,"MROWc","Coal",0.295722378540839
2034,"MROWc","Coal",0.295722378540839
2035,"MROWc","Coal",0.295722378540839
2036,"MROWc","Coal",0.295722378540839
2037,"MROWc","Coal",0.295722378540839
2038,"MROWc","Coal",0.295722378540839
2039,"MROWc","Coal",0.295722378540839
2040,"MROWc","Coal",0.295722378540839
2041,"MROWc","Coal",0.295722378540839
2042,"MROWc","Coal",0.295722378540839
2043,"MROWc","Coal",0.295722378540839
2044,"MROWc","Coal",0.295722378540839
2045,"MROWc","Coal",0.295722378540839
2046,"MROWc","Coal",0.295722378540839
2047,"MROWc","Coal",0.295722378540839
2048,"MROWc","Coal",0.295722378540839
2049,"MROWc","Coal",0.295722378540839
2050,"MROWc","Coal",0.295722378540839
2022,"NEWEc","Coal",0.00810595010633171
2023,"NEWEc","Coal",0.00810595010633171
2024,"NEWEc","Coal",0.00810595010633171
2025,"NEWEc","Coal",0.00810595010633171
2026,"NEWEc","Coal",0.00810595010633171
2027,"NEWEc","Coal",0.00810595010633171
2028,"NEWEc","Coal",0.00810595010633171
2029,"NEWEc","Coal",0.00810595010633171
2030,"NEWEc","Coal",0.00810595010633171
2031,"NEWEc","Coal",0.00810595010633171
2032,"NEWEc","Coal",0.00810595010633171
2033,"NEWEc","Coal",0.00810595010633171
2034,"NEWEc","Coal",0.00810595010633171
2035,"NEWEc","Coal",0.00810595010633171
2036,"NEWEc","Coal",0.00810595010633171
2037,"NEWEc","Coal",0.00810595010633171
2038,"NEWEc","Coal",0.00810595010633171
2039,"NEWEc","Coal",0.00810595010633171
2040,"NEWEc","Coal",0.00810595010633171
2041,"NEWEc","Coal",0.00810595010633171
2042,"NEWEc","Coal",0.00810595010633171
2043,"NEWEc","Coal",0.00810595010633171
2044,"NEWEc","Coal",0.00810595010633171
2045,"NEWEc","Coal",0.00810595010633171
2046,"NEWEc","Coal",0.00810595010633171
2047,"NEWEc","Coal",0.00810595010633171
2048,"NEWEc","Coal",0.00810595010633171
2049,"NEWEc","Coal",0.00810595010633171
2050,"NEWEc","Coal",0.00810595010633171
2022,"NWPPc","Coal",0.199970792259106
2023,"NWPPc","Coal",0.199970792259106
2024,"NWPPc","Coal",0.199970792259106
2025,"NWPPc","Coal",0.199970792259106
2026,"NWPPc","Coal",0.199970792259106
2027,"NWPPc","Coal",0.199970792259106
2028,"NWPPc","Coal",0.199970792259106
2029,"NWPPc","Coal",0.199970792259106
2030,"NWPPc","Coal",0.199970792259106
2031,"NWPPc","Coal",0.199970792259106
2032,"NWPPc","Coal",0.199970792259106
2033,"NWPPc","Coal",0.199970792259106
2034,"NWPPc","Coal",0.199970792259106
2035,"NWPPc","Coal",0.199970792259106
2036,"NWPPc","Coal",0.199970792259106
2037,"NWPPc","Coal",0.199970792259106
2038,"NWPPc","Coal",0.199970792259106
2039,"NWPPc","Coal",0.199970792259106
2040,"NWPPc","Coal",0.199970792259106
2041,"NWPPc","Coal",0.199970792259106
2042,"NWPPc","Coal",0.199970792259106
2043,"NWPPc","Coal",0.199970792259106
2044,"NWPPc","Coal",0.199970792259106
2045,"NWPPc","Coal",0.199970792259106
2046,"NWPPc","Coal",0.199970792259106
2047,"NWPPc","Coal",0.199970792259106
2048,"NWPPc","Coal",0.199970792259106
2049,"NWPPc","Coal",0.199970792259106
2050,"NWPPc","Coal",0.199970792259106
2022,"NYSTc","Coal",0.00725076453266569
2023,"NYSTc","Coal",0.00725076453266569
2024,"NYSTc","Coal",0.00725076453266569
2025,"NYSTc","Coal",0.00725076453266569
2026,"NYSTc","Coal",0.00725076453266569
2027,"NYSTc","Coal",0.00725076453266569
2028,"NYSTc","Coal",0.00725076453266569
2029,"NYSTc","Coal",0.00725076453266569
2030,"NYSTc","Coal",0.00725076453266569
2031,"NYSTc","Coal",0.00725076453266569
2032,"NYSTc","Coal",0.00725076453266569
2033,"NYSTc","Coal",0.00725076453266569
2034,"NYSTc","Coal",0.00725076453266569
2035,"NYSTc","Coal",0.00725076453266569
2036,"NYSTc","Coal",0.00725076453266569
2037,"NYSTc","Coal",0.00725076453266569
2038,"NYSTc","Coal",0.00725076453266569
2039,"NYSTc","Coal",0.00725076453266569
2040,"NYSTc","Coal",0.00725076453266569
2041,"NYSTc","Coal",0.00725076453266569
2042,"NYSTc","Coal",0.00725076453266569
2043,"NYSTc","Coal",0.00725076453266569
2044,"NYSTc","Coal",0.00725076453266569
2045,"NYSTc","Coal",0.00725076453266569
2046,"NYSTc","Coal",0.00725076453266569
2047,"NYSTc","Coal",0.00725076453266569
2048,"NYSTc","Coal",0.00725076453266569
2049,"NYSTc","Coal",0.00725076453266569
2050,"NYSTc","Coal",0.00725076453266569
2022,"RFCEc","Coal",0.104275059386432
2023,"RFCEc","Coal",0.104275059386432
2024,"RFCEc","Coal",0.104275059386432
2025,"RFCEc","Coal",0.104275059386432
2026,"RFCEc","Coal",0.104275059386432
2027,"RFCEc","Coal",0.104275059386432
2028,"RFCEc","Coal",0.104275059386432
2029,"RFCEc","Coal",0.104275059386432
2030,"RFCEc","Coal",0.104275059386432
2031,"RFCEc","Coal",0.104275059386432
2032,"RFCEc","Coal",0.104275059386432
2033,"RFCEc","Coal",0.104275059386432
2034,"RFCEc","Coal",0.104275059386432
2035,"RFCEc","Coal",0.104275059386432
2036,"RFCEc","Coal",0.104275059386432
2037,"RFCEc","Coal",0.104275059386432
2038,"RFCEc","Coal",0.104275059386432
2039,"RFCEc","Coal",0.104275059386432
2040,"RFCEc","Coal",0.104275059386432
2041,"RFCEc","Coal",0.104275059386432
2042,"RFCEc","Coal",0.104275059386432
2043,"RFCEc","Coal",0.104275059386432
2044,"RFCEc","Coal",0.104275059386432
2045,"RFCEc","Coal",0.104275059386432
2046,"RFCEc","Coal",0.104275059386432
2047,"RFCEc","Coal",0.104275059386432
2048,"RFCEc","Coal",0.104275059386432
2049,"RFCEc","Coal",0.104275059386432
2050,"RFCEc","Coal",0.104275059386432
2022,"RFCMc","Coal",0.38745763251944
2023,"RFCMc","Coal",0.38745763251944
2024,"RFCMc","Coal",0.38745763251944
2025,"RFCMc","Coal",0.38745763251944
2026,"RFCMc","Coal",0.38745763251944
2027,"RFCMc","Coal",0.38745763251944
2028,"RFCMc","Coal",0.38745763251944
2029,"RFCMc","Coal",0.38745763251944
2030,"RFCMc","Coal",0.38745763251944
2031,"RFCMc","Coal",0.38745763251944
2032,"RFCMc","Coal",0.38745763251944
2033,"RFCMc","Coal",0.38745763251944
2034,"RFCMc","Coal",0.38745763251944
2035,"RFCMc","Coal",0.38745763251944
2036,"RFCMc","Coal",0.38745763251944
2037,"RFCMc","Coal",0.38745763251944
2038,"RFCMc","Coal",0.38745763251944
2039,"RFCMc","Coal",0.38745763251944
2040,"RFCMc","Coal",0.38745763251944
2041,"RFCMc","Coal",0.38745763251944
2042,"RFCMc","Coal",0.38745763251944
2043,"RFCMc","Coal",0.38745763251944
2044,"RFCMc","Coal",0.38745763251944
2045,"RFCMc","Coal",0.38745763251944
2046,"RFCMc","Coal",0.38745763251944
2047,"RFCMc","Coal",0.38745763251944
2048,"RFCMc","Coal",0.38745763251944
2049,"RFCMc","Coal",0.38745763251944
2050,"RFCMc","Coal",0.38745763251944
2022,"RFCWc","Coal",0.415821440846779
2023,"RFCWc","Coal",0.415821440846779
2024,"RFCWc","Coal",0.415821440846779
2025,"RFCWc","Coal",0.415821440846779
2026,"RFCWc","Coal",0.415821440846779
2027,"RFCWc","Coal",0.415821440846779
2028,"RFCWc","Coal",0.415821440846779
2029,"RFCWc","Coal",0.415821440846779
2030,"RFCWc","Coal",0.415821440846779
2031,"RFCWc","Coal",0.415821440846779
2032,"RFCWc","Coal",0.415821440846779
2033,"RFCWc","Coal",0.415821440846779
2034,"RFCWc","Coal",0.415821440846779
2035,"RFCWc","Coal",0.415821440846779
2036,"RFCWc","Coal",0.415821440846779
2037,"RFCWc","Coal",0.415821440846779
2038,"RFCWc","Coal",0.415821440846779
2039,"RFCWc","Coal",0.415821440846779
2040,"RFCWc","Coal",0.415821440846779
2041,"RFCWc","Coal",0.415821440846779
2042,"RFCWc","Coal",0.415821440846779
2043,"RFCWc","Coal",0.415821440846779
2044,"RFCWc","Coal",0.415821440846779
2045,"RFCWc","Coal",0.415821440846779
2046,"RFCWc","Coal",0.415821440846779
2047,"RFCWc","Coal",0.415821440846779
