"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.230086843966861
2023,"AZNMc","Coal",0.175562948900883
2024,"AZNMc","Coal",0.121039053834904
2025,"AZNMc","Coal",0.116246387109958
2026,"AZNMc","Coal",0.111453720385013
2027,"AZNMc","Coal",0.0981003269010103
2028,"AZNMc","Coal",0.0847469334170075
2029,"AZNMc","Coal",0.0767194869307967
2030,"AZNMc","Coal",0.068692040444586
2031,"AZNMc","Coal",0.0619229850095754
2032,"AZNMc","Coal",0.0551539295745647
2033,"AZNMc","Coal",0.0483848741395541
2034,"AZNMc","Coal",0.0416158187045435
2035,"AZNMc","Coal",0.0348467632695328
2036,"AZNMc","Coal",0.0328187303385551
2037,"AZNMc","Coal",0.0307906974075774
2038,"AZNMc","Coal",0.0287626644765998
2039,"AZNMc","Coal",0.0267346315456221
2040,"AZNMc","Coal",0.0247065986146444
2041,"AZNMc","Coal",0.0238803076882834
2042,"AZNMc","Coal",0.0230540167619225
2043,"AZNMc","Coal",0.0222277258355615
2044,"AZNMc","Coal",0.0214014349092005
2045,"AZNMc","Coal",0.0205751439828395
2046,"AZNMc","Coal",0.0199831238249762
2047,"AZNMc","Coal",0.0193911036671128
2048,"AZNMc","Coal",0.0187990835092495
2049,"AZNMc","Coal",0.0182070633513861
2050,"AZNMc","Coal",0.0176150431935228
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
