Heating Fuel,Measure Values,State,Upgrade Package Assignment,Measure Names
Electricity,49904.29144,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,107162.724,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,246848.3845,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,44460.04679,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Fuel Oil,107555.8653,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,85652.17347,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,96396.11879,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,67327.06951,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,99635.33427,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,175957.6622,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,124055.8545,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,58347.56444,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,127366.4762,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,91518.82474,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,68460.62542,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,102571.3802,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,187407.0946,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,202110.8981,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,74318.69927,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,49481.15879,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,205066.0519,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,183290.3648,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,95501.83245,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,86964.98735,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,42712.70963,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,53790.10402,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,147341.7962,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,71470.81028,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,41836.6858,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,24191.11343,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,170180.969,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,95748.92329,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,67939.8673,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,117103.4036,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,92519.56224,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,136172.102,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,65886.8375,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,362629.8443,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,229946.1375,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,91400.47893,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,70642.73328,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,78460.19518,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,66467.37692,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,56635.63642,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,54057.40208,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,51732.96022,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,201073.2434,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,106295.055,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,63646.99336,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Fuel Oil,105967.9436,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,105462.4305,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,64510.31899,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,52917.51313,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,130203.9503,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,180527.8368,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,81572.45526,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,54302.44942,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,148649.2328,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,70870.82606,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,130666.9136,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,92422.92339,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,52449.68351,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,44927.63196,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,55251.63745,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,39783.34414,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,34005.2491,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,145217.0485,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
