Measure Values,State,Upgrade Package Assignment,Measure Names
49904.29144,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
107162.724,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
246848.3845,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
44460.04679,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
107555.8653,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
85652.17347,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
96396.11879,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
67327.06951,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
99635.33427,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
175957.6622,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
124055.8545,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
58347.56444,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
127366.4762,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
91518.82474,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
68460.62542,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
102571.3802,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
187407.0946,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
202110.8981,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
74318.69927,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
49481.15879,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
205066.0519,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
183290.3648,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
95501.83245,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
86964.98735,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
42712.70963,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
53790.10402,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
147341.7962,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
71470.81028,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
41836.6858,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
24191.11343,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
170180.969,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
95748.92329,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
67939.8673,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
117103.4036,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
92519.56224,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
136172.102,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
