fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,high stack,23337.82992144731422333820311911
01001,AL,so2,AP2,annual,high stack,18174.7603571226100266331470708
01001,AL,nox,AP2,annual,high stack,2846.74055513315506236963607763
01001,AL,pm25,EASIUR,annual,high stack,63124.13524558348763942097823396
01001,AL,so2,EASIUR,annual,high stack,21527.98614344018457654710025658
01001,AL,nox,EASIUR,annual,high stack,3361.870838932865482049390637653
01001,AL,pm25,EASIUR,winter,high stack,83468.40768666750188628932748693
01001,AL,so2,EASIUR,winter,high stack,20651.99219545918966817840491764
01001,AL,nox,EASIUR,winter,high stack,7567.70199433692790661757443575
01001,AL,pm25,EASIUR,spring,high stack,50959.03682712042926046556797867
01001,AL,so2,EASIUR,spring,high stack,29715.35145436101671558209426
01001,AL,nox,EASIUR,spring,high stack,3044.320215303755993019998011601
01001,AL,pm25,EASIUR,summer,high stack,46170.75921798385302691624387907
01001,AL,so2,EASIUR,summer,high stack,21266.05319262232017182630086178
01001,AL,nox,EASIUR,summer,high stack,1085.7683583856815846859152053468
01001,AL,pm25,EASIUR,fall,high stack,71898.33725056177824841955325219
01001,AL,so2,EASIUR,fall,high stack,14478.547731319046242127024715707
01001,AL,nox,EASIUR,fall,high stack,1749.6927877050945031961087962193
01001,AL,pm25,InMAP,annual,high stack,30586.67291066161755619090643829
01001,AL,so2,InMAP,annual,high stack,20304.64376709600916243407830171
01001,AL,nox,InMAP,annual,high stack,6828.808828206895454798349673927
01003,AL,pm25,AP2,annual,high stack,29585.85951718964891998976532266
01003,AL,so2,AP2,annual,high stack,18223.111248495180280490384531849
01003,AL,nox,AP2,annual,high stack,2603.054372984485996488463147735
01003,AL,pm25,EASIUR,annual,high stack,60992.25661846622494431369603426
01003,AL,so2,EASIUR,annual,high stack,20665.25082706414221044706995528
01003,AL,nox,EASIUR,annual,high stack,2999.470320004428705236936719379
01003,AL,pm25,EASIUR,winter,high stack,74592.44993320616721029396914318
01003,AL,so2,EASIUR,winter,high stack,23690.97864657992100022337856067
01003,AL,nox,EASIUR,winter,high stack,6038.384643503132494909595948484
01003,AL,pm25,EASIUR,spring,high stack,54110.96097480014110009739800727
01003,AL,so2,EASIUR,spring,high stack,25887.77766832854471176952199123
01003,AL,nox,EASIUR,spring,high stack,3771.20691106261437713698660685
01003,AL,pm25,EASIUR,summer,high stack,50885.12981475138688816514052797
01003,AL,so2,EASIUR,summer,high stack,20635.81031242851763440729367331
01003,AL,nox,EASIUR,summer,high stack,1102.8226965993721608230500792796
01003,AL,pm25,EASIUR,fall,high stack,64380.48575110778678208810696709
01003,AL,so2,EASIUR,fall,high stack,12446.436680919236173354187290828
01003,AL,nox,EASIUR,fall,high stack,1085.4670288525957880781142429024
01003,AL,pm25,InMAP,annual,high stack,37003.43998544136835321106310015
01003,AL,so2,InMAP,annual,high stack,22020.11064557638626759412696616
01003,AL,nox,InMAP,annual,high stack,7773.715702737915532116896778124
01005,AL,pm25,AP2,annual,high stack,21120.30341950879813907362718142
01005,AL,so2,AP2,annual,high stack,18893.678769574309851490734562298
01005,AL,nox,AP2,annual,high stack,2733.660822456657181902540200955
01005,AL,pm25,EASIUR,annual,high stack,59357.41748608276563513006165184
01005,AL,so2,EASIUR,annual,high stack,21908.23051305870067525319513827
01005,AL,nox,EASIUR,annual,high stack,3159.309578832121924319541316559
01005,AL,pm25,EASIUR,winter,high stack,75259.2017112560841542056678458
01005,AL,so2,EASIUR,winter,high stack,18973.47892041264730849060311244
01005,AL,nox,EASIUR,winter,high stack,6663.847699594472320501767027094
01005,AL,pm25,EASIUR,spring,high stack,49583.73431127390130517411117924
01005,AL,so2,EASIUR,spring,high stack,28509.09650600671333523306572882
01005,AL,nox,EASIUR,spring,high stack,3047.162434258743365879013358132
01005,AL,pm25,EASIUR,summer,high stack,49426.28442813790893353035258173
01005,AL,so2,EASIUR,summer,high stack,25580.09069873817522266259846007
01005,AL,nox,EASIUR,summer,high stack,1536.9505344131467167327254270834
01005,AL,pm25,EASIUR,fall,high stack,63160.44949366316814761011500059
01005,AL,so2,EASIUR,fall,high stack,14570.255927077189207507869183954
01005,AL,nox,EASIUR,fall,high stack,1389.2776470621349975544899624011
01005,AL,pm25,InMAP,annual,high stack,27948.44275678374639048740872101
01005,AL,so2,InMAP,annual,high stack,18706.287776280657988556897206646
01005,AL,nox,InMAP,annual,high stack,6527.07622755118723683106392081
01007,AL,pm25,AP2,annual,high stack,21220.97561435862186709587667494
01007,AL,so2,AP2,annual,high stack,18725.849706621805700267542088429
01007,AL,nox,AP2,annual,high stack,3188.309375351187093583120741448
01007,AL,pm25,EASIUR,annual,high stack,68314.89846956672658167106672578
01007,AL,so2,EASIUR,annual,high stack,22828.76792051382100700058077429
01007,AL,nox,EASIUR,annual,high stack,3611.955974273345225846367813794
01007,AL,pm25,EASIUR,winter,high stack,90583.5831887404823388367600737
01007,AL,so2,EASIUR,winter,high stack,22626.533373439915076386807471
01007,AL,nox,EASIUR,winter,high stack,7777.384691585782481240599937354
01007,AL,pm25,EASIUR,spring,high stack,59411.50826932978004148455494021
01007,AL,so2,EASIUR,spring,high stack,30816.78520099288704590758727367
01007,AL,nox,EASIUR,spring,high stack,3761.400192901119970434408964096
01007,AL,pm25,EASIUR,summer,high stack,49220.15959823749791820139520888
01007,AL,so2,EASIUR,summer,high stack,22896.91349781845659968527766499
01007,AL,nox,EASIUR,summer,high stack,1336.9728611473842352537548772221
01007,AL,pm25,EASIUR,fall,high stack,74044.34282195914602816155668033
01007,AL,so2,EASIUR,fall,high stack,14974.839609803792424666718484112
01007,AL,nox,EASIUR,fall,high stack,1572.0661514591291486600973070121
01007,AL,pm25,InMAP,annual,high stack,45066.69513767889710339108699419
01007,AL,so2,InMAP,annual,high stack,26857.97177686635656855032175981
01007,AL,nox,InMAP,annual,high stack,9493.358448201409077922088135668
01009,AL,pm25,AP2,annual,high stack,31400.54749358297602436991016072
01009,AL,so2,AP2,annual,high stack,23681.66846539535235622876241396
01009,AL,nox,AP2,annual,high stack,4094.746329748119883068458277015
01009,AL,pm25,EASIUR,annual,high stack,79835.26155298644344027053682724
01009,AL,so2,EASIUR,annual,high stack,24337.41121590244472395580851685
01009,AL,nox,EASIUR,annual,high stack,4819.798409280467673979528453439
01009,AL,pm25,EASIUR,winter,high stack,98160.27114286859329623116013821
01009,AL,so2,EASIUR,winter,high stack,23331.06181834595405389987675906
01009,AL,nox,EASIUR,winter,high stack,9886.86059238806941381210902882
01009,AL,pm25,EASIUR,spring,high stack,70072.01594175114182209695114988
01009,AL,so2,EASIUR,spring,high stack,33347.75395460283956838639109031
01009,AL,nox,EASIUR,spring,high stack,5131.716971273548095256580390108
01009,AL,pm25,EASIUR,summer,high stack,64778.99349861926813488793504897
01009,AL,so2,EASIUR,summer,high stack,25533.77035839440318912838338676
01009,AL,nox,EASIUR,summer,high stack,1720.9517168345436051169363979107
01009,AL,pm25,EASIUR,fall,high stack,86329.76562870696457566271114139
01009,AL,so2,EASIUR,fall,high stack,15137.05873226638801661197266178
01009,AL,nox,EASIUR,fall,high stack,2539.664356625715403766386302002
01009,AL,pm25,InMAP,annual,high stack,57755.43497574760039348477578089
01009,AL,so2,InMAP,annual,high stack,37509.10674350345478991435599437
01009,AL,nox,InMAP,annual,high stack,13004.623696601682863881945334979
01011,AL,pm25,AP2,annual,high stack,22476.66122704222609451399435187
01011,AL,so2,AP2,annual,high stack,18973.979070850845020351078578613
01011,AL,nox,AP2,annual,high stack,2795.685676206612605143822158749
01011,AL,pm25,EASIUR,annual,high stack,61588.18307208803595657871051323
01011,AL,so2,EASIUR,annual,high stack,22066.24338316382948757049461239
01011,AL,nox,EASIUR,annual,high stack,3225.245669478443110241944334349
01011,AL,pm25,EASIUR,winter,high stack,77665.48059967053244037643107949
01011,AL,so2,EASIUR,winter,high stack,18260.901376735968246295039137787
01011,AL,nox,EASIUR,winter,high stack,6722.347007883935625126692899321
01011,AL,pm25,EASIUR,spring,high stack,51858.91091010441738898554225053
01011,AL,so2,EASIUR,spring,high stack,29174.09343337977688932804954297
01011,AL,nox,EASIUR,spring,high stack,3080.998097186359043579157877197
01011,AL,pm25,EASIUR,summer,high stack,51549.27171498870637447023490994
01011,AL,so2,EASIUR,summer,high stack,25983.45365221464640593273792723
