fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,high stack,59960.93073772486651076086828817463744378
01001,AL,so2,AP2,annual,high stack,46695.3208440089578395660225041934008184
01001,AL,nox,AP2,annual,high stack,7312.63800329467868014262993398072075074
01001,AL,pm25,EASIUR,annual,high stack,162184.92732865481858817349692730120128408
01001,AL,so2,EASIUR,annual,high stack,55310.85170460385207847800107016351588284
01001,AL,nox,EASIUR,annual,high stack,8636.175736844449646239398095257778133294
01001,AL,pm25,EASIUR,winter,high stack,214455.99949078138791165758611997075159214
01001,AL,so2,EASIUR,winter,high stack,53060.13750476683265430170269274448433272
01001,AL,nox,EASIUR,winter,high stack,19442.32790878871650930983156498754277850
01001,AL,pm25,EASIUR,spring,high stack,130928.82126084931579991994948454673619666
01001,AL,so2,EASIUR,spring,high stack,76346.86389054916159726098960192342348
01001,AL,nox,EASIUR,spring,high stack,7820.284600362940800665786029114357222998
01001,AL,pm25,EASIUR,summer,high stack,118626.17415639790632303750455025169487586
01001,AL,so2,EASIUR,summer,high stack,54637.86051194806753701717630960133091244
01001,AL,nox,EASIUR,summer,high stack,2788.1260042417846836196775387040829154664
01001,AL,pm25,EASIUR,fall,high stack,184728.71440658966707113091026630786787362
01001,AL,so2,EASIUR,fall,high stack,37198.544911153490606270415845859497191986
01001,AL,nox,EASIUR,fall,high stack,4493.9644339843516051275570617844908432214
01001,AL,pm25,InMAP,annual,high stack,78585.57293510180750017803300126536732142
01001,AL,so2,InMAP,annual,high stack,52167.68608793918672228991482856685119858
01001,AL,nox,InMAP,annual,high stack,17543.870339527657856260524624385398639546
01003,AL,pm25,AP2,annual,high stack,76014.15686394499630455210993538226104668
01003,AL,so2,AP2,annual,high stack,46819.550055909154771396933264773601080102
01003,AL,nox,AP2,annual,high stack,6686.528711409503318341944370233079861530
01003,AL,pm25,EASIUR,annual,high stack,156707.43572104616232758627035103292354348
01003,AL,so2,EASIUR,annual,high stack,53094.20325429906800769928612843959242544
01003,AL,nox,EASIUR,annual,high stack,7705.050589392822148388481310368638991042
01003,AL,pm25,EASIUR,winter,high stack,191650.76870247195554857687020097598702964
01003,AL,so2,EASIUR,winter,high stack,60868.28500899837412664429038800096343266
01003,AL,nox,EASIUR,winter,high stack,15513.012774235488814236326512034599583832
01003,AL,pm25,EASIUR,spring,high stack,139027.14254759162034257678505171180545946
01003,AL,so2,EASIUR,spring,high stack,66512.57828731788479916379179000436524354
01003,AL,nox,EASIUR,spring,high stack,9687.89363075383113754951192375483125630
01003,AL,pm25,EASIUR,summer,high stack,130738.93003775362518859639170886487275806
01003,AL,so2,EASIUR,summer,high stack,53018.56096876315536038764583711503637538
01003,AL,nox,EASIUR,summer,high stack,2831.9441622037724031545318109590532469608
01003,AL,pm25,EASIUR,fall,high stack,165412.90159636894410101709037477066082382
01003,AL,so2,EASIUR,fall,high stack,31977.388752115960222348182939323025511944
01003,AL,nox,EASIUR,fall,high stack,2787.3517903781962386135549947260718770752
01003,AL,pm25,InMAP,annual,high stack,95072.34068679724630287330184664649272970
01003,AL,so2,InMAP,annual,high stack,56575.28008062010204749702884509314745968
01003,AL,nox,InMAP,annual,high stack,19971.644326930506704579053290495786492552
01005,AL,pm25,AP2,annual,high stack,54263.38180153493935021551776810730484116
01005,AL,so2,AP2,annual,high stack,48542.456755345679609204633665176314483004
01005,AL,nox,AP2,annual,high stack,7022.099283666116016967048021061866119090
01005,AL,pm25,EASIUR,annual,high stack,152507.00070869775014263377653942766690432
01005,AL,so2,EASIUR,annual,high stack,56287.82352510670075676832455196334339746
01005,AL,nox,EASIUR,annual,high stack,8115.729784567717104084370827978449912682
01005,AL,pm25,EASIUR,winter,high stack,193363.8715133786885042932942763001642684
01005,AL,so2,EASIUR,winter,high stack,48747.48937349897170023909441361243170312
01005,AL,nox,EASIUR,winter,high stack,17120.031390132111709051042528005190008612
01005,AL,pm25,EASIUR,spring,high stack,127395.22047670952137705023680418600572952
01005,AL,so2,EASIUR,spring,high stack,73247.60145027531293609027221291318962636
01005,AL,nox,EASIUR,spring,high stack,7827.587187984442040511648319440503942136
01005,AL,pm25,EASIUR,summer,high stack,126990.68036709617777985777551641582516254
01005,AL,so2,EASIUR,summer,high stack,65722.03009556611914230149753821230791386
01005,AL,nox,EASIUR,summer,high stack,3947.3601891797984149190764037461183509132
01005,AL,pm25,EASIUR,fall,high stack,162278.23047760661290933379956080867245682
01005,AL,so2,EASIUR,fall,high stack,37434.173181086199799052826585489893426892
01005,AL,nox,EASIUR,fall,high stack,3567.9403709745411830294169929251812140178
01005,AL,pm25,InMAP,annual,high stack,71807.09908438982182166723721602466601998
01005,AL,so2,InMAP,annual,high stack,48060.988167007057570677220206628587511908
01005,AL,nox,InMAP,annual,high stack,16768.62086387227475359328303194973038038
01007,AL,pm25,AP2,annual,high stack,54522.04150917275213030511011870047207812
01007,AL,so2,AP2,annual,high stack,48111.249147116019463763131496868262362942
01007,AL,nox,AP2,annual,high stack,8190.239721500820449942589811599530854704
01007,AL,pm25,EASIUR,annual,high stack,175521.69126764989631539045835715263598444
01007,AL,so2,EASIUR,annual,high stack,58652.98440232014193436933358459842184942
01007,AL,nox,EASIUR,annual,high stack,9278.726026805119901865299547124909975212
01007,AL,pm25,EASIUR,winter,high stack,232737.2063116252998963296005027978207926
01007,AL,so2,EASIUR,winter,high stack,58133.377882382491184655795616822425258
01007,AL,nox,EASIUR,winter,high stack,19981.071156097501093380916960280791000092
01007,AL,pm25,EASIUR,spring,high stack,152645.97757516464376216379382025187662158
01007,AL,so2,EASIUR,spring,high stack,79176.80647113172029870519266921172660666
01007,AL,nox,EASIUR,spring,high stack,9662.696972865101163578112392097894187008
01007,AL,pm25,EASIUR,summer,high stack,126461.07844157475802720530575032706623824
01007,AL,so2,EASIUR,summer,high stack,58828.07261936677638949738245956307440802
01007,AL,nox,EASIUR,summer,high stack,3433.5523142429906548096675839170149945758
01007,AL,pm25,EASIUR,fall,high stack,190242.50274223488357586313335523378028534
01007,AL,so2,EASIUR,fall,high stack,38473.680636398981516450141219919808366176
01007,AL,nox,EASIUR,fall,high stack,4037.5836640149764479178246081354376329958
01007,AL,pm25,InMAP,annual,high stack,115789.47339059960723948903445386944078962
01007,AL,so2,InMAP,annual,high stack,69005.32342752934027638572457880929650238
01007,AL,nox,InMAP,annual,high stack,24389.967484050506324420244449836770630264
01009,AL,pm25,AP2,annual,high stack,80676.68222288797718621949661884428654256
01009,AL,so2,AP2,annual,high stack,60844.36411657273523629958775130514892408
01009,AL,nox,AP2,annual,high stack,10519.171935268191156812486478604580738970
01009,AL,pm25,EASIUR,annual,high stack,205121.26194835223426993233847775153203352
