fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,ground level,41623.09651676257085927223372954
01001,AL,so2,AP2,annual,ground level,22731.01575249122948234520961331
01001,AL,nox,AP2,annual,ground level,3010.575674443844467861510130565
01001,AL,pm25,EASIUR,annual,ground level,119852.97419682736854944964401576
01001,AL,so2,EASIUR,annual,ground level,23058.15482311747863231618368625
01001,AL,nox,EASIUR,annual,ground level,5595.296983919268176358482740565
01001,AL,pm25,EASIUR,winter,ground level,142755.57583029103192875122839339
01001,AL,so2,EASIUR,winter,ground level,25026.24648602225065074477264336
01001,AL,nox,EASIUR,winter,ground level,13311.407677243056081809525917903
01001,AL,pm25,EASIUR,spring,ground level,105227.14138310627459661591185805
01001,AL,so2,EASIUR,spring,ground level,30687.73013919991077573555319495
01001,AL,nox,EASIUR,spring,ground level,5000.624988371329791202251960252
01001,AL,pm25,EASIUR,summer,ground level,98594.88215067269329281500374499
01001,AL,so2,EASIUR,summer,ground level,23390.40746229074218902662478756
01001,AL,nox,EASIUR,summer,ground level,1587.2002191821338434563938067395
01001,AL,pm25,EASIUR,fall,ground level,132834.29742323928031181982189712
01001,AL,so2,EASIUR,fall,ground level,13128.235204957263201893377339467
01001,AL,nox,EASIUR,fall,ground level,2481.955050880601505914911819738
01001,AL,pm25,InMAP,annual,ground level,60006.94781708503173171949832178
01001,AL,so2,InMAP,annual,ground level,21728.75967336979813429100160522
01001,AL,nox,InMAP,annual,ground level,9608.965201894008653284575202343
01003,AL,pm25,AP2,annual,ground level,97029.87655144434330511635780006
01003,AL,so2,AP2,annual,ground level,42465.5469428946098357012001084
01003,AL,nox,AP2,annual,ground level,3006.506857728927433995187011264
01003,AL,pm25,EASIUR,annual,ground level,118463.645768228558390878604057
01003,AL,so2,EASIUR,annual,ground level,21563.67444534124898304624186994
01003,AL,nox,EASIUR,annual,ground level,4435.623535183458354965345315929
01003,AL,pm25,EASIUR,winter,ground level,129505.25762741658711764796387894
01003,AL,so2,EASIUR,winter,ground level,26518.42696304228284240567363814
01003,AL,nox,EASIUR,winter,ground level,8667.833801376220694580419679805
01003,AL,pm25,EASIUR,spring,ground level,113527.19965688064826018883846046
01003,AL,so2,EASIUR,spring,ground level,27554.09778773328961392604655042
01003,AL,nox,EASIUR,spring,ground level,6058.229130841934782889206298911
01003,AL,pm25,EASIUR,summer,ground level,111570.31812251274319082467732878
01003,AL,so2,EASIUR,summer,ground level,20815.3098215348811923184143996
01003,AL,nox,EASIUR,summer,ground level,1577.5158657476489621765831587299
01003,AL,pm25,EASIUR,fall,ground level,119251.80766610406092705632639033
01003,AL,so2,EASIUR,fall,ground level,11366.863209054522876755171874651
01003,AL,nox,EASIUR,fall,ground level,1438.9153427680173361473755161007
01003,AL,pm25,InMAP,annual,ground level,85281.38562230693916017443911709
01003,AL,so2,InMAP,annual,ground level,22894.10695693458880309716832015
01003,AL,nox,InMAP,annual,ground level,13085.024060879631676809299440055
01005,AL,pm25,AP2,annual,ground level,34165.56729828155481619545207035
01005,AL,so2,AP2,annual,ground level,22622.72789649255999167095680501
01005,AL,nox,AP2,annual,ground level,3282.944661278972262330788022513
01005,AL,pm25,EASIUR,annual,ground level,111226.59231347928132911967258593
01005,AL,so2,EASIUR,annual,ground level,21631.97876213062440623816560297
01005,AL,nox,EASIUR,annual,ground level,4963.512663857873350815998452986
01005,AL,pm25,EASIUR,winter,ground level,126065.81810294247867010658851806
01005,AL,so2,EASIUR,winter,ground level,23282.75703994362778309312429561
01005,AL,nox,EASIUR,winter,ground level,11792.049678795483381887671091105
01005,AL,pm25,EASIUR,spring,ground level,100636.70832904690005642673195583
01005,AL,so2,EASIUR,spring,ground level,26697.33662032746080710109177124
01005,AL,nox,EASIUR,spring,ground level,4417.523001999003439853382961121
01005,AL,pm25,EASIUR,summer,ground level,106191.27218977136611446131992053
01005,AL,so2,EASIUR,summer,ground level,23681.12588780067439013133230076
01005,AL,nox,EASIUR,summer,ground level,1633.9324924124150803772014881061
01005,AL,pm25,EASIUR,fall,ground level,112012.5706321563804754840499493
01005,AL,so2,EASIUR,fall,ground level,12866.695500450268881915249637494
01005,AL,nox,EASIUR,fall,ground level,2010.545482224589560467772169917
01005,AL,pm25,InMAP,annual,ground level,35855.27062060713954867665310425
01005,AL,so2,InMAP,annual,ground level,20413.27094164433797513956228239
01005,AL,nox,InMAP,annual,ground level,8214.417065389702816788461820414
