fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,pm25,AP2,annual,ground level,106941.74523848261945455952133528636848892
01001,AL,so2,AP2,annual,ground level,58401.82719610839967421952553927883249538
01001,AL,nox,AP2,annual,ground level,7733.583867492088671113947014303055041870
01001,AL,pm25,EASIUR,annual,ground level,307939.81942820856649750222885146609288048
01001,AL,so2,EASIUR,annual,ground level,59242.35418065779388171518016446233737750
01001,AL,nox,EASIUR,annual,ground level,14374.576042456160442505533944864491821870
01001,AL,pm25,EASIUR,winter,ground level,366784.07380742435029899500053581837703122
01001,AL,so2,EASIUR,winter,ground level,64299.02365022440940788109256413855874528
01001,AL,nox,EASIUR,winter,ground level,34199.781393480912404576446186828175122794
01001,AL,pm25,EASIUR,spring,ground level,270361.28401234690593926714448054672219390
01001,AL,so2,EASIUR,spring,ground level,78845.22191988251751535985954380763630010
01001,AL,nox,EASIUR,spring,ground level,12846.669705077902984633815878072318281896
01001,AL,pm25,EASIUR,summer,ground level,253320.84661452793420044847428947091824802
01001,AL,so2,EASIUR,summer,ground level,60096.01959084030099912997518619409249688
01001,AL,nox,EASIUR,summer,ground level,4076.4680206979986175349434782607463114210
01001,AL,pm25,EASIUR,fall,ground level,341293.07327853457692782427745596447674976
01001,AL,so2,EASIUR,fall,ground level,33729.151561684595815006017600992102456466
01001,AL,nox,EASIUR,fall,ground level,6375.385050567952419145434897312696896124
01001,AL,pm25,InMAP,annual,ground level,154175.85600453748402196821462556638799244
01001,AL,so2,InMAP,annual,ground level,55826.70439491694528840539257995179955356
01001,AL,nox,InMAP,annual,ground level,24686.998944978635652122757816681020881914
01003,AL,pm25,AP2,annual,ground level,249299.83672841384599274136553403580397188
01003,AL,so2,AP2,annual,ground level,109106.2751888599310038555691385525598632
01003,AL,nox,AP2,annual,ground level,7723.129750111592038604749793949916294272
01003,AL,pm25,EASIUR,annual,ground level,304370.181498983471125457121641319185286
01003,AL,so2,EASIUR,annual,ground level,55402.54659364039006218156708188135068812
01003,AL,nox,EASIUR,annual,ground level,11394.996669494234287654445102332966407942
01003,AL,pm25,EASIUR,winter,ground level,332739.68411694276034112222173551824247012
01003,AL,so2,EASIUR,winter,ground level,68132.92204197611508871880262231107399172
01003,AL,nox,EASIUR,winter,ground level,22268.925381867852284815228901157758031390
01003,AL,pm25,EASIUR,spring,ground level,291686.84118008206053412630308364986513108
01003,AL,so2,EASIUR,spring,ground level,70793.89822435898404178149703656163390316
01003,AL,nox,EASIUR,spring,ground level,15563.999735440952834684679875218651170378
01003,AL,pm25,EASIUR,summer,ground level,286658.97418744816466903195668573111337844
01003,AL,so2,EASIUR,summer,ground level,53479.7537600382748182411784747127207208
01003,AL,nox,EASIUR,summer,ground level,4051.5857577080853354278062118503244759202
01003,AL,pm25,EASIUR,fall,ground level,306395.22651146040033407398641631364286534
01003,AL,so2,EASIUR,fall,ground level,29203.612348188136437637388329533586406898
01003,AL,nox,EASIUR,fall,ground level,3695.4758029600167782816243024612993161386
01003,AL,pm25,InMAP,annual,ground level,219114.13119721575198142830467349532652382
01003,AL,so2,InMAP,annual,ground level,58820.86170034809678415501810457704628970
01003,AL,nox,InMAP,annual,ground level,33618.128037160384591816802101360042060890
01005,AL,pm25,AP2,annual,ground level,87780.92004508887916942404969280359402930
01005,AL,so2,AP2,annual,ground level,58123.60037076576669868685111483857065198
01005,AL,nox,AP2,annual,ground level,8433.388640890299620121822208227264695574
01005,AL,pm25,EASIUR,annual,ground level,285775.83046136974604911943505221235519414
01005,AL,so2,EASIUR,annual,ground level,55578.04266420382358504591351117328760806
01005,AL,nox,EASIUR,annual,ground level,12751.316037436801748817589502784401127228
01005,AL,pm25,EASIUR,winter,ground level,323902.64204027477133416105733185755413588
01005,AL,so2,EASIUR,winter,ground level,59819.43054047809530626182572638106939078
