"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.12302249012915
2023,"AZNMc","Coal",0.12302249012915
2024,"AZNMc","Coal",0.12302249012915
2025,"AZNMc","Coal",0.115996896384115
2026,"AZNMc","Coal",0.108971302639079
2027,"AZNMc","Coal",0.0918287182240471
2028,"AZNMc","Coal",0.0746861338090147
2029,"AZNMc","Coal",0.0720403258595287
2030,"AZNMc","Coal",0.0693945179100427
2031,"AZNMc","Coal",0.0633294394492477
2032,"AZNMc","Coal",0.0572643609884527
2033,"AZNMc","Coal",0.0511992825276576
2034,"AZNMc","Coal",0.0451342040668626
2035,"AZNMc","Coal",0.0390691256060676
2036,"AZNMc","Coal",0.0362444403320473
2037,"AZNMc","Coal",0.0334197550580269
2038,"AZNMc","Coal",0.0305950697840066
2039,"AZNMc","Coal",0.0277703845099863
2040,"AZNMc","Coal",0.024945699235966
2041,"AZNMc","Coal",0.0238243702849641
2042,"AZNMc","Coal",0.0227030413339621
2043,"AZNMc","Coal",0.0215817123829602
2044,"AZNMc","Coal",0.0204603834319583
2045,"AZNMc","Coal",0.0193390544809564
2046,"AZNMc","Coal",0.0195686028704406
2047,"AZNMc","Coal",0.0197981512599249
2048,"AZNMc","Coal",0.0200276996494092
2049,"AZNMc","Coal",0.0202572480388934
2050,"AZNMc","Coal",0.0204867964283777
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.0969511977819817
2023,"ERCTc","Coal",0.0969511977819817
2024,"ERCTc","Coal",0.0969511977819817
2025,"ERCTc","Coal",0.0772400409396644
2026,"ERCTc","Coal",0.057528884097347
2027,"ERCTc","Coal",0.0407550713532902
2028,"ERCTc","Coal",0.0239812586092333
2029,"ERCTc","Coal",0.0215072529431463
2030,"ERCTc","Coal",0.0190332472770593
2031,"ERCTc","Coal",0.018145459362053
2032,"ERCTc","Coal",0.0172576714470468
2033,"ERCTc","Coal",0.0163698835320405
2034,"ERCTc","Coal",0.0154820956170342
2035,"ERCTc","Coal",0.0145943077020279
2036,"ERCTc","Coal",0.0141611905687935
2037,"ERCTc","Coal",0.0137280734355591
2038,"ERCTc","Coal",0.0132949563023248
2039,"ERCTc","Coal",0.0128618391690904
2040,"ERCTc","Coal",0.012428722035856
2041,"ERCTc","Coal",0.0119615086417038
2042,"ERCTc","Coal",0.0114942952475515
2043,"ERCTc","Coal",0.0110270818533992
2044,"ERCTc","Coal",0.010559868459247
2045,"ERCTc","Coal",0.0100926550650947
2046,"ERCTc","Coal",0.0101680036329324
2047,"ERCTc","Coal",0.0102433522007701
2048,"ERCTc","Coal",0.0103187007686078
2049,"ERCTc","Coal",0.0103940493364455
2050,"ERCTc","Coal",0.0104693979042832
2022,"FRCCc","Coal",0.0622041762499155
2023,"FRCCc","Coal",0.0622041762499155
2024,"FRCCc","Coal",0.0622041762499155
2025,"FRCCc","Coal",0.0554140792000187
2026,"FRCCc","Coal",0.0486239821501219
2027,"FRCCc","Coal",0.0386884598228777
2028,"FRCCc","Coal",0.0287529374956335
2029,"FRCCc","Coal",0.0256376487980863
2030,"FRCCc","Coal",0.022522360100539
2031,"FRCCc","Coal",0.0192051562078996
2032,"FRCCc","Coal",0.0158879523152602
2033,"FRCCc","Coal",0.0125707484226208
2034,"FRCCc","Coal",0.0092535445299814
2035,"FRCCc","Coal",0.005936340637342
2036,"FRCCc","Coal",0.00555538349371931
2037,"FRCCc","Coal",0.00517442635009662
2038,"FRCCc","Coal",0.00479346920647393
2039,"FRCCc","Coal",0.00441251206285124
2040,"FRCCc","Coal",0.00403155491922854
2041,"FRCCc","Coal",0.00369268415616967
2042,"FRCCc","Coal",0.00335381339311079
2043,"FRCCc","Coal",0.00301494263005191
2044,"FRCCc","Coal",0.00267607186699304
2045,"FRCCc","Coal",0.00233720110393416
2046,"FRCCc","Coal",0.00251250180901173
2047,"FRCCc","Coal",0.00268780251408929
2048,"FRCCc","Coal",0.00286310321916686
2049,"FRCCc","Coal",0.00303840392424443
2050,"FRCCc","Coal",0.003213704629322
2022,"MROEc","Coal",0.0833503357088499
2023,"MROEc","Coal",0.0833503357088499
2024,"MROEc","Coal",0.0833503357088499
2025,"MROEc","Coal",0.0746741891953699
2026,"MROEc","Coal",0.0659980426818898
2027,"MROEc","Coal",0.0500427306043899
2028,"MROEc","Coal",0.0340874185268901
2029,"MROEc","Coal",0.0311393523477105
2030,"MROEc","Coal",0.0281912861685308
2031,"MROEc","Coal",0.0266048155867244
2032,"MROEc","Coal",0.025018345004918
2033,"MROEc","Coal",0.0234318744231115
2034,"MROEc","Coal",0.0218454038413051
2035,"MROEc","Coal",0.0202589332594987
2036,"MROEc","Coal",0.0184329994882252
2037,"MROEc","Coal",0.0166070657169517
2038,"MROEc","Coal",0.0147811319456783
2039,"MROEc","Coal",0.0129551981744048
2040,"MROEc","Coal",0.0111292644031313
2041,"MROEc","Coal",0.0115848250274001
2042,"MROEc","Coal",0.0120403856516689
2043,"MROEc","Coal",0.0124959462759377
2044,"MROEc","Coal",0.0129515069002064
2045,"MROEc","Coal",0.0134070675244752
2046,"MROEc","Coal",0.0145500259958199
2047,"MROEc","Coal",0.0156929844671646
2048,"MROEc","Coal",0.0168359429385092
2049,"MROEc","Coal",0.0179789014098539
2050,"MROEc","Coal",0.0191218598811986
2022,"MROWc","Coal",0.219277618999839
2023,"MROWc","Coal",0.219277618999839
2024,"MROWc","Coal",0.219277618999839
2025,"MROWc","Coal",0.181310948542303
2026,"MROWc","Coal",0.143344278084766
2027,"MROWc","Coal",0.110233731210523
2028,"MROWc","Coal",0.0771231843362789
2029,"MROWc","Coal",0.065527924867978
2030,"MROWc","Coal",0.0539326653996771
2031,"MROWc","Coal",0.0511679764108805
2032,"MROWc","Coal",0.0484032874220839
2033,"MROWc","Coal",0.0456385984332874
2034,"MROWc","Coal",0.0428739094444908
2035,"MROWc","Coal",0.0401092204556942
2036,"MROWc","Coal",0.0373175448382342
