"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.239564733687496
2023,"AZNMc","Coal",0.249890336101253
2024,"AZNMc","Coal",0.260083832381057
2025,"AZNMc","Coal",0.264158976029287
2026,"AZNMc","Coal",0.268190121572569
2027,"AZNMc","Coal",0.267534712964223
2028,"AZNMc","Coal",0.266888561534926
2029,"AZNMc","Coal",0.265556150398264
2030,"AZNMc","Coal",0.264238777257468
2031,"AZNMc","Coal",0.260851647003852
2032,"AZNMc","Coal",0.25750341022708
2033,"AZNMc","Coal",0.254285736969187
2034,"AZNMc","Coal",0.251112979691623
2035,"AZNMc","Coal",0.24473130341511
2036,"AZNMc","Coal",0.23844748556767
2037,"AZNMc","Coal",0.232677330675008
2038,"AZNMc","Coal",0.227003704100722
2039,"AZNMc","Coal",0.216806989400604
2040,"AZNMc","Coal",0.206761469076373
2041,"AZNMc","Coal",0.206349730839782
2042,"AZNMc","Coal",0.205944875493857
2043,"AZNMc","Coal",0.197923838198137
2044,"AZNMc","Coal",0.190044675390636
2045,"AZNMc","Coal",0.185219528335749
2046,"AZNMc","Coal",0.180483947483437
2047,"AZNMc","Coal",0.174360836475524
2048,"AZNMc","Coal",0.168349308711321
2049,"AZNMc","Coal",0.156261655920556
2050,"AZNMc","Coal",0.144403445509636
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.219765942050542
2023,"ERCTc","Coal",0.229538791870276
2024,"ERCTc","Coal",0.239211781021128
2025,"ERCTc","Coal",0.242814929114051
2026,"ERCTc","Coal",0.24637494739036
2027,"ERCTc","Coal",0.245443233667884
2028,"ERCTc","Coal",0.244527122938216
2029,"ERCTc","Coal",0.242980128723698
2030,"ERCTc","Coal",0.241454667344921
2031,"ERCTc","Coal",0.237882833177787
2032,"ERCTc","Coal",0.234366029096618
2033,"ERCTc","Coal",0.230939379201187
2034,"ERCTc","Coal",0.227574973922863
2035,"ERCTc","Coal",0.221067678732664
2036,"ERCTc","Coal",0.214701535743184
2037,"ERCTc","Coal",0.208847256524981
2038,"ERCTc","Coal",0.203126698807971
2039,"ERCTc","Coal",0.193154816571448
2040,"ERCTc","Coal",0.183415645119909
2041,"ERCTc","Coal",0.18280636282063
2042,"ERCTc","Coal",0.182208847641385
2043,"ERCTc","Coal",0.174447423657231
2044,"ERCTc","Coal",0.166880449843219
2045,"ERCTc","Coal",0.162186027413986
2046,"ERCTc","Coal",0.157604347698253
2047,"ERCTc","Coal",0.151776888721454
2048,"ERCTc","Coal",0.14609130111055
2049,"ERCTc","Coal",0.134670584190367
2050,"ERCTc","Coal",0.123618050265121
2022,"FRCCc","Coal",0.159155230975385
2023,"FRCCc","Coal",0.16809139741072
2024,"FRCCc","Coal",0.177135231381079
2025,"FRCCc","Coal",0.181837278511195
2026,"FRCCc","Coal",0.186588699387744
2027,"FRCCc","Coal",0.186958336500742
2028,"FRCCc","Coal",0.187325976894435
2029,"FRCCc","Coal",0.18686341340368
2030,"FRCCc","Coal",0.186403758422437
2031,"FRCCc","Coal",0.183583558194303
2032,"FRCCc","Coal",0.18080868968704
2033,"FRCCc","Coal",0.179401288987832
2034,"FRCCc","Coal",0.178000321740185
2035,"FRCCc","Coal",0.174321586862756
2036,"FRCCc","Coal",0.170664080754831
2037,"FRCCc","Coal",0.167842385862564
2038,"FRCCc","Coal",0.165024333914149
2039,"FRCCc","Coal",0.158240662337428
2040,"FRCCc","Coal",0.151504421052724
2041,"FRCCc","Coal",0.151904329962495
2042,"FRCCc","Coal",0.152301189082883
2043,"FRCCc","Coal",0.146994894957431
2044,"FRCCc","Coal",0.141738118480547
2045,"FRCCc","Coal",0.139169055012895
2046,"FRCCc","Coal",0.136610168505887
2047,"FRCCc","Coal",0.132905793624982
2048,"FRCCc","Coal",0.129217766540337
2049,"FRCCc","Coal",0.12053624460969
2050,"FRCCc","Coal",0.111935198658391
2022,"MROEc","Coal",0.283745722578849
2023,"MROEc","Coal",0.295777421746408
2024,"MROEc","Coal",0.307639393568263
2025,"MROEc","Coal",0.313361659464731
2026,"MROEc","Coal",0.31905474128718
2027,"MROEc","Coal",0.319362864828179
2028,"MROEc","Coal",0.319668705179306
2029,"MROEc","Coal",0.319038519163084
2030,"MROEc","Coal",0.31841167212227
2031,"MROEc","Coal",0.315367145670997
2032,"MROEc","Coal",0.312337770175354
2033,"MROEc","Coal",0.310080343744554
2034,"MROEc","Coal",0.30783072050195
2035,"MROEc","Coal",0.302379687851252
2036,"MROEc","Coal",0.296927356166983
2037,"MROEc","Coal",0.292199840451832
2038,"MROEc","Coal",0.287472550595251
2039,"MROEc","Coal",0.277503352877946
2040,"MROEc","Coal",0.267470705382351
2041,"MROEc","Coal",0.267912935128372
2042,"MROEc","Coal",0.268350933136728
2043,"MROEc","Coal",0.260392512163484
2044,"MROEc","Coal",0.252423608233561
2045,"MROEc","Coal",0.248027824976397
2046,"MROEc","Coal",0.243643120969608
2047,"MROEc","Coal",0.237532977286926
2048,"MROEc","Coal",0.231424313522902
2049,"MROEc","Coal",0.218580576470145
2050,"MROEc","Coal",0.205534551134631
2022,"MROWc","Coal",0.319973185394832
2023,"MROWc","Coal",0.329698299236049
2024,"MROWc","Coal",0.339069320096544
