"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.195885259205766
2023,"AZNMc","Coal",0.187497974876507
2024,"AZNMc","Coal",0.194325568712139
2025,"AZNMc","Coal",0.178408735252803
2026,"AZNMc","Coal",0.164391726155386
2027,"AZNMc","Coal",0.153802034674551
2028,"AZNMc","Coal",0.146134554975935
2029,"AZNMc","Coal",0.140477882244599
2030,"AZNMc","Coal",0.135586193161644
2031,"AZNMc","Coal",0.132847686733793
2032,"AZNMc","Coal",0.130877355770299
2033,"AZNMc","Coal",0.129210764117437
2034,"AZNMc","Coal",0.126216075009779
2035,"AZNMc","Coal",0.123082273079856
2036,"AZNMc","Coal",0.121620809426537
2037,"AZNMc","Coal",0.119955726696373
2038,"AZNMc","Coal",0.112015541087538
2039,"AZNMc","Coal",0.109385993989218
2040,"AZNMc","Coal",0.101827899151845
2041,"AZNMc","Coal",0.0995185393106894
2042,"AZNMc","Coal",0.097980873620899
2043,"AZNMc","Coal",0.0956444262837928
2044,"AZNMc","Coal",0.092812499152956
2045,"AZNMc","Coal",0.0912184220801406
2046,"AZNMc","Coal",0.0903313450698136
2047,"AZNMc","Coal",0.088057633532531
2048,"AZNMc","Coal",0.0820684264142058
2049,"AZNMc","Coal",0.0804847879137218
2050,"AZNMc","Coal",0.0794507729421625
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.178895421564546
2023,"ERCTc","Coal",0.17173748988797
2024,"ERCTc","Coal",0.178229150623566
2025,"ERCTc","Coal",0.162290897566814
2026,"ERCTc","Coal",0.148376461806398
2027,"ERCTc","Coal",0.138213108893805
2028,"ERCTc","Coal",0.130604535904057
2029,"ERCTc","Coal",0.125192565427281
2030,"ERCTc","Coal",0.120548686746494
2031,"ERCTc","Coal",0.117889588639371
2032,"ERCTc","Coal",0.1157160463526
2033,"ERCTc","Coal",0.114054063113054
2034,"ERCTc","Coal",0.110958963942012
2035,"ERCTc","Coal",0.107967019403729
2036,"ERCTc","Coal",0.106504941480311
2037,"ERCTc","Coal",0.104860517034811
2038,"ERCTc","Coal",0.0974185535035999
2039,"ERCTc","Coal",0.0949434620207762
2040,"ERCTc","Coal",0.0880714137002609
2041,"ERCTc","Coal",0.0859037444118706
2042,"ERCTc","Coal",0.084437717824811
2043,"ERCTc","Coal",0.0822725571919217
2044,"ERCTc","Coal",0.079688489869957
2045,"ERCTc","Coal",0.0782043605402696
2046,"ERCTc","Coal",0.0772111375258267
2047,"ERCTc","Coal",0.0751324067016631
2048,"ERCTc","Coal",0.069811413084472
2049,"ERCTc","Coal",0.0683495464863419
