stage,role,column,theme,dtype,n_non_null,pct_non_null,n_rows
raw_euss_mp3,index,bldg_id,identifier,int64,331531,100.0,331531
raw_euss_mp3,column,upgrade,other,int64,331531,100.0,331531
raw_euss_mp3,column,weight,identifier,float64,331531,100.0,331531
raw_euss_mp3,column,applicability,other,bool,331531,100.0,331531
raw_euss_mp3,column,in.sqft,other,float64,331531,100.0,331531
raw_euss_mp3,column,in.ahs_region,other,object,331531,100.0,331531
raw_euss_mp3,column,in.ashrae_iecc_climate_zone_2004,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.ashrae_iecc_climate_zone_2004_2_a_split,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.bathroom_spot_vent_hour,other,object,331531,100.0,331531
raw_euss_mp3,column,in.bedrooms,other,int64,331531,100.0,331531
raw_euss_mp3,column,in.building_america_climate_zone,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.cec_climate_zone,geo_climate,float64,34443,10.4,331531
raw_euss_mp3,column,in.ceiling_fan,other,object,238515,71.9,331531
raw_euss_mp3,column,in.census_division,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.census_division_recs,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.census_region,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.city,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.clothes_dryer,other,object,316573,95.5,331531
raw_euss_mp3,column,in.clothes_washer,other,object,321167,96.9,331531
raw_euss_mp3,column,in.clothes_washer_presence,other,object,321167,96.9,331531
raw_euss_mp3,column,in.cooking_range,other,object,328319,99.0,331531
raw_euss_mp3,column,in.cooling_setpoint,other,object,331531,100.0,331531
raw_euss_mp3,column,in.cooling_setpoint_has_offset,other,object,331531,100.0,331531
raw_euss_mp3,column,in.cooling_setpoint_offset_magnitude,other,object,331531,100.0,331531
raw_euss_mp3,column,in.cooling_setpoint_offset_period,other,object,138204,41.7,331531
raw_euss_mp3,column,in.corridor,other,object,331531,100.0,331531
raw_euss_mp3,column,in.county,identifier,object,331531,100.0,331531
raw_euss_mp3,column,in.county_and_puma,identifier,object,331531,100.0,331531
raw_euss_mp3,column,in.dehumidifier,other,float64,0,0.0,331531
raw_euss_mp3,column,in.dishwasher,other,object,158824,47.9,331531
raw_euss_mp3,column,in.door_area,other,object,331531,100.0,331531
raw_euss_mp3,column,in.doors,other,object,331531,100.0,331531
raw_euss_mp3,column,in.ducts,other,object,266368,80.3,331531
raw_euss_mp3,column,in.eaves,other,object,331531,100.0,331531
raw_euss_mp3,column,in.electric_vehicle,other,float64,0,0.0,331531
raw_euss_mp3,column,in.emissions_electricity_folders,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_electricity_units,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_electricity_values_or_filepaths,geo_climate,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_fossil_fuel_units,other,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_fuel_oil_values,other,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_natural_gas_values,other,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_propane_values,other,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_scenario_names,other,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_types,equipment,object,331531,100.0,331531
raw_euss_mp3,column,in.emissions_wood_values,other,object,331531,100.0,331531
raw_euss_mp3,column,in.federal_poverty_level,building,object,331531,100.0,331531
raw_euss_mp3,column,in.generation_and_emissions_assessment_region,other,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_attic_type,equipment,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_building_horizontal_location_mf,other,object,0,0.0,331531
raw_euss_mp3,column,in.geometry_building_horizontal_location_sfa,other,object,29107,8.8,331531
raw_euss_mp3,column,in.geometry_building_level_mf,other,object,0,0.0,331531
raw_euss_mp3,column,in.geometry_building_number_units_mf,other,float64,0,0.0,331531
raw_euss_mp3,column,in.geometry_building_number_units_sfa,other,float64,29107,8.8,331531
raw_euss_mp3,column,in.geometry_building_type_acs,building,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_building_type_height,building,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_building_type_recs,building,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_floor_area,other,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_floor_area_bin,other,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_foundation_type,equipment,object,331531,100.0,331531
raw_euss_mp3,column,in.geometry_garage,other,object,147049,44.4,331531
raw_euss_mp3,column,in.geometry_stories,other,int64,331531,100.0,331531
