state,basic_retrofit_net_equipment_capitalCostincremental_costs_low,basic_retrofit_net_equipment_capitalCost_reference,basic_retrofit_net_equipment_capitalCostincremental_costs_high,moderate_retrofit_net_equipment_capitalCostincremental_costs_low,moderate_retrofit_net_equipment_capitalCost_reference,moderate_retrofit_net_equipment_capitalCostincremental_costs_high,advanced_retrofit_net_equipment_capitalCostincremental_costs_low,advanced_retrofit_net_equipment_capitalCost_reference,advanced_retrofit_net_equipment_capitalCostincremental_costs_high,upgrade_package
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,CA - Basic
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,CA - Basic
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,CA - Basic
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,CA - Basic
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,CA - Basic
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,CA - Basic
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,CA - Basic
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,CA - Basic
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,CA - Basic
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,CA - Basic
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,CA - Moderate
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,CA - Moderate
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,CA - Moderate
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,CA - Moderate
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,CA - Moderate
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,CA - Moderate
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,CA - Moderate
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,CA - Moderate
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,CA - Moderate
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,CA - Moderate
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,CA - Advanced
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,CA - Advanced
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,CA - Advanced
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,CA - Advanced
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,CA - Advanced
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,CA - Advanced
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,CA - Advanced
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,CA - Advanced
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,CA - Advanced
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,CA - Advanced
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,CO - Basic
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,CO - Basic
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,CO - Basic
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,CO - Basic
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,CO - Basic
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,CO - Basic
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,CO - Basic
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,CO - Basic
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,CO - Basic
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,CO - Basic
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,CO - Moderate
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,CO - Moderate
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,CO - Moderate
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,CO - Moderate
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,CO - Moderate
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,CO - Moderate
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,CO - Moderate
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,CO - Moderate
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,CO - Moderate
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,CO - Moderate
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,CO - Advanced
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,CO - Advanced
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,CO - Advanced
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,CO - Advanced
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,CO - Advanced
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,CO - Advanced
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,CO - Advanced
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,CO - Advanced
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,CO - Advanced
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,CO - Advanced
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,FL - Basic
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,FL - Basic
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,FL - Basic
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,FL - Basic
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,FL - Basic
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,FL - Basic
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,FL - Basic
