GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,GEO_ID,TL_GEO_ID,NAME_E,AP2PE001,NAME_M,AP2PM001
G0100030,2022,AL,Alabama,1,Baldwin County,3,0500000US01003,1003,"Baldwin County, Alabama",69914.00,"Baldwin County, Alabama",6178.00
G0100150,2022,AL,Alabama,1,Calhoun County,15,0500000US01015,1015,"Calhoun County, Alabama",52819.00,"Calhoun County, Alabama",5563.00
G0100430,2022,AL,Alabama,1,Cullman County,43,0500000US01043,1043,"Cullman County, Alabama",63229.00,"Cullman County, Alabama",5765.00
G0100490,2022,AL,Alabama,1,DeKalb County,49,0500000US01049,1049,"DeKalb County, Alabama",49663.00,"DeKalb County, Alabama",3733.00
G0100510,2022,AL,Alabama,1,Elmore County,51,0500000US01051,1051,"Elmore County, Alabama",71651.00,"Elmore County, Alabama",4293.00
G0100550,2022,AL,Alabama,1,Etowah County,55,0500000US01055,1055,"Etowah County, Alabama",57098.00,"Etowah County, Alabama",4257.00
G0100690,2022,AL,Alabama,1,Houston County,69,0500000US01069,1069,"Houston County, Alabama",56705.00,"Houston County, Alabama",2968.00
G0100730,2022,AL,Alabama,1,Jefferson County,73,0500000US01073,1073,"Jefferson County, Alabama",61968.00,"Jefferson County, Alabama",1795.00
G0100770,2022,AL,Alabama,1,Lauderdale County,77,0500000US01077,1077,"Lauderdale County, Alabama",59461.00,"Lauderdale County, Alabama",6588.00
G0100810,2022,AL,Alabama,1,Lee County,81,0500000US01081,1081,"Lee County, Alabama",58549.00,"Lee County, Alabama",4334.00
G0100830,2022,AL,Alabama,1,Limestone County,83,0500000US01083,1083,"Limestone County, Alabama",84220.00,"Limestone County, Alabama",4290.00
G0100890,2022,AL,Alabama,1,Madison County,89,0500000US01089,1089,"Madison County, Alabama",80123.00,"Madison County, Alabama",3715.00
G0100950,2022,AL,Alabama,1,Marshall County,95,0500000US01095,1095,"Marshall County, Alabama",52678.00,"Marshall County, Alabama",3404.00
G0100970,2022,AL,Alabama,1,Mobile County,97,0500000US01097,1097,"Mobile County, Alabama",54300.00,"Mobile County, Alabama",2320.00
G0101010,2022,AL,Alabama,1,Montgomery County,101,0500000US01101,1101,"Montgomery County, Alabama",57509.00,"Montgomery County, Alabama",4265.00
G0101030,2022,AL,Alabama,1,Morgan County,103,0500000US01103,1103,"Morgan County, Alabama",62201.00,"Morgan County, Alabama",4461.00
G0101150,2022,AL,Alabama,1,St. Clair County,115,0500000US01115,1115,"St. Clair County, Alabama",70301.00,"St. Clair County, Alabama",7256.00
G0101170,2022,AL,Alabama,1,Shelby County,117,0500000US01117,1117,"Shelby County, Alabama",98212.00,"Shelby County, Alabama",5916.00
G0101210,2022,AL,Alabama,1,Talladega County,121,0500000US01121,1121,"Talladega County, Alabama",56876.00,"Talladega County, Alabama",5341.00
G0101250,2022,AL,Alabama,1,Tuscaloosa County,125,0500000US01125,1125,"Tuscaloosa County, Alabama",61097.00,"Tuscaloosa County, Alabama",3143.00
G0200200,2022,AK,Alaska,2,Anchorage Municipality,20,0500000US02020,2020,"Anchorage Municipality, Alaska",100751.00,"Anchorage Municipality, Alaska",4905.00
G0200900,2022,AK,Alaska,2,Fairbanks North Star Borough,90,0500000US02090,2090,"Fairbanks North Star Borough, Alaska",83519.00,"Fairbanks North Star Borough, Alaska",10216.00
G0201700,2022,AK,Alaska,2,Matanuska-Susitna Borough,170,0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",84636.00,"Matanuska-Susitna Borough, Alaska",5021.00
G0400010,2022,AZ,Arizona,4,Apache County,1,0500000US04001,4001,"Apache County, Arizona",37663.00,"Apache County, Arizona",4512.00
G0400030,2022,AZ,Arizona,4,Cochise County,3,0500000US04003,4003,"Cochise County, Arizona",55031.00,"Cochise County, Arizona",4237.00
G0400050,2022,AZ,Arizona,4,Coconino County,5,0500000US04005,4005,"Coconino County, Arizona",62622.00,"Coconino County, Arizona",4908.00
G0400130,2022,AZ,Arizona,4,Maricopa County,13,0500000US04013,4013,"Maricopa County, Arizona",83747.00,"Maricopa County, Arizona",1352.00
G0400150,2022,AZ,Arizona,4,Mohave County,15,0500000US04015,4015,"Mohave County, Arizona",54786.00,"Mohave County, Arizona",4050.00
G0400170,2022,AZ,Arizona,4,Navajo County,17,0500000US04017,4017,"Navajo County, Arizona",49487.00,"Navajo County, Arizona",4057.00
G0400190,2022,AZ,Arizona,4,Pima County,19,0500000US04019,4019,"Pima County, Arizona",64014.00,"Pima County, Arizona",2028.00
G0400210,2022,AZ,Arizona,4,Pinal County,21,0500000US04021,4021,"Pinal County, Arizona",76377.00,"Pinal County, Arizona",2575.00
G0400250,2022,AZ,Arizona,4,Yavapai County,25,0500000US04025,4025,"Yavapai County, Arizona",63936.00,"Yavapai County, Arizona",3814.00
