eGRID_subregion,Fuel,Pollutant,Emission_rate,Unit
AKGD,Coal,NOx,1.907,lb/MWh
AKMS,Coal,NOx,1.31,lb/MWh
AZNM,Coal,NOx,1.581,lb/MWh
CAMX,Coal,NOx,2.742,lb/MWh
ERCT,Coal,NOx,1.109,lb/MWh
FRCC,Coal,NOx,0.513,lb/MWh
HIMS,Coal,NOx,1.31,lb/MWh
HIOA,Coal,NOx,2.825,lb/MWh
MROE,Coal,NOx,0.761,lb/MWh
MROW,Coal,NOx,1.659,lb/MWh
NEWE,Coal,NOx,2.535,lb/MWh
NWPP,Coal,NOx,1.983,lb/MWh
NYCW,Coal,NOx,1.31,lb/MWh
NYLI,Coal,NOx,1.31,lb/MWh
NYUP,Coal,NOx,1.31,lb/MWh
PRMS,Coal,NOx,2.504,lb/MWh
RFCE,Coal,NOx,1.422,lb/MWh
RFCM,Coal,NOx,1.259,lb/MWh
RFCW,Coal,NOx,1.246,lb/MWh
RMPA,Coal,NOx,1.225,lb/MWh
SPNO,Coal,NOx,0.969,lb/MWh
SPSO,Coal,NOx,1.643,lb/MWh
SRMV,Coal,NOx,1.465,lb/MWh
SRMW,Coal,NOx,1.57,lb/MWh
SRSO,Coal,NOx,0.876,lb/MWh
SRTV,Coal,NOx,1.086,lb/MWh
SRVC,Coal,NOx,1.272,lb/MWh
AKGD,Coal,SO2,0.938,lb/MWh
AKMS,Coal,SO2,1.95,lb/MWh
AZNM,Coal,SO2,0.736,lb/MWh
CAMX,Coal,SO2,0.613,lb/MWh
ERCT,Coal,SO2,3.172,lb/MWh
FRCC,Coal,SO2,0.81,lb/MWh
HIMS,Coal,SO2,1.95,lb/MWh
HIOA,Coal,SO2,5.228,lb/MWh
MROE,Coal,SO2,0.506,lb/MWh
MROW,Coal,SO2,2.414,lb/MWh
NEWE,Coal,SO2,1.387,lb/MWh
NWPP,Coal,SO2,1.555,lb/MWh
NYCW,Coal,SO2,1.95,lb/MWh
NYLI,Coal,SO2,1.95,lb/MWh
NYUP,Coal,SO2,1.95,lb/MWh
PRMS,Coal,SO2,2.721,lb/MWh
RFCE,Coal,SO2,2.92,lb/MWh
RFCM,Coal,SO2,2.73,lb/MWh
RFCW,Coal,SO2,1.815,lb/MWh
RMPA,Coal,SO2,0.843,lb/MWh
SPNO,Coal,SO2,0.401,lb/MWh
SPSO,Coal,SO2,2.827,lb/MWh
SRMV,Coal,SO2,4.501,lb/MWh
SRMW,Coal,SO2,3.913,lb/MWh
SRSO,Coal,SO2,0.44,lb/MWh
SRTV,Coal,SO2,1.785,lb/MWh
SRVC,Coal,SO2,0.824,lb/MWh
AKGD,Coal,PM25,0,lb/MWh
AKMS,Coal,PM25,0,lb/MWh
AZNM,Coal,PM25,0.06441622,lb/MWh
CAMX,Coal,PM25,0,lb/MWh
ERCT,Coal,PM25,0.0994413,lb/MWh
FRCC,Coal,PM25,0.20183892,lb/MWh
HIMS,Coal,PM25,0,lb/MWh
HIOA,Coal,PM25,0,lb/MWh
MROE,Coal,PM25,0.02410681,lb/MWh
MROW,Coal,PM25,0.1130999,lb/MWh
NEWE,Coal,PM25,0.20291124,lb/MWh
NWPP,Coal,PM25,0.10414427,lb/MWh
NYCW,Coal,PM25,0,lb/MWh
NYLI,Coal,PM25,0,lb/MWh
NYUP,Coal,PM25,0,lb/MWh
PRMS,Coal,PM25,0,lb/MWh
RFCE,Coal,PM25,0.19542642,lb/MWh
RFCM,Coal,PM25,0.11261272,lb/MWh
RFCW,Coal,PM25,0.13758644,lb/MWh
RMPA,Coal,PM25,0.04981576,lb/MWh
SPNO,Coal,PM25,0.07844978,lb/MWh
SPSO,Coal,PM25,0.08736954,lb/MWh
SRMV,Coal,PM25,0.14341126,lb/MWh
SRMW,Coal,PM25,0.08630731,lb/MWh
SRSO,Coal,PM25,0.05707661,lb/MWh
SRTV,Coal,PM25,0.09056663,lb/MWh
SRVC,Coal,PM25,0.10474802,lb/MWh
AKGD,Coal,NH3,0.008103887,lb/MWh
AKMS,Coal,NH3,0.008103887,lb/MWh
AZNM,Coal,NH3,0.008103887,lb/MWh
CAMX,Coal,NH3,0.008103887,lb/MWh
ERCT,Coal,NH3,0.008103887,lb/MWh
FRCC,Coal,NH3,0.008103887,lb/MWh
HIMS,Coal,NH3,0.008103887,lb/MWh
HIOA,Coal,NH3,0.008103887,lb/MWh
MROE,Coal,NH3,0.008103887,lb/MWh
MROW,Coal,NH3,0.008103887,lb/MWh
NEWE,Coal,NH3,0.008103887,lb/MWh
NWPP,Coal,NH3,0.008103887,lb/MWh
NYCW,Coal,NH3,0.008103887,lb/MWh
NYLI,Coal,NH3,0.008103887,lb/MWh
NYUP,Coal,NH3,0.008103887,lb/MWh
PRMS,Coal,NH3,0.008103887,lb/MWh
RFCE,Coal,NH3,0.008103887,lb/MWh
RFCM,Coal,NH3,0.008103887,lb/MWh
RFCW,Coal,NH3,0.008103887,lb/MWh
RMPA,Coal,NH3,0.008103887,lb/MWh
SPNO,Coal,NH3,0.008103887,lb/MWh
SPSO,Coal,NH3,0.008103887,lb/MWh
SRMV,Coal,NH3,0.008103887,lb/MWh
SRMW,Coal,NH3,0.008103887,lb/MWh
SRSO,Coal,NH3,0.008103887,lb/MWh
SRTV,Coal,NH3,0.008103887,lb/MWh
SRVC,Coal,NH3,0.008103887,lb/MWh
AKGD,Coal,VOC,0.025374966,lb/MWh
AKMS,Coal,VOC,0.025374966,lb/MWh
AZNM,Coal,VOC,0.025374966,lb/MWh
CAMX,Coal,VOC,0.025374966,lb/MWh
ERCT,Coal,VOC,0.025374966,lb/MWh
FRCC,Coal,VOC,0.025374966,lb/MWh
HIMS,Coal,VOC,0.025374966,lb/MWh
HIOA,Coal,VOC,0.025374966,lb/MWh
MROE,Coal,VOC,0.025374966,lb/MWh
MROW,Coal,VOC,0.025374966,lb/MWh
NEWE,Coal,VOC,0.025374966,lb/MWh
NWPP,Coal,VOC,0.025374966,lb/MWh
NYCW,Coal,VOC,0.025374966,lb/MWh
NYLI,Coal,VOC,0.025374966,lb/MWh
NYUP,Coal,VOC,0.025374966,lb/MWh
PRMS,Coal,VOC,0.025374966,lb/MWh
RFCE,Coal,VOC,0.025374966,lb/MWh
RFCM,Coal,VOC,0.025374966,lb/MWh
RFCW,Coal,VOC,0.025374966,lb/MWh
RMPA,Coal,VOC,0.025374966,lb/MWh
SPNO,Coal,VOC,0.025374966,lb/MWh
SPSO,Coal,VOC,0.025374966,lb/MWh
SRMV,Coal,VOC,0.025374966,lb/MWh
