Cluster,Attribute,Mean,Median,Stdev,Min,Max
Cluster 0: n=646,Cooling Setpoint,71.87,72.0,3.47,62,80
Cluster 0: n=646,Geometry Floor Area,1968.46,1750.0,955.65,250,4000
Cluster 0: n=646,Heating Setpoint,69.58,70.0,2.65,60,78
Cluster 0: n=646,Income,96133.9,90000.0,56188.44,5000,200000
Cluster 0: n=646,Occupants,2.41,2.0,1.24,1,7
Cluster 0: n=646,Vintage,1994.0,1995.0,17.0,1940,2015
Cluster 1: n=100,Cooling Setpoint,68.12,68.0,6.23,60,80
Cluster 1: n=100,Geometry Floor Area,1651.25,1250.0,916.22,250,4000
Cluster 1: n=100,Heating Setpoint,68.01,69.0,6.12,55,80
Cluster 1: n=100,Income,88075.0,75000.0,60109.12,0,200000
Cluster 1: n=100,Occupants,2.16,2.0,1.16,0,6
Cluster 1: n=100,Vintage,1994.0,1995.0,17.0,1940,2015
Cluster 2: n=51,Cooling Setpoint,70.76,70.0,4.66,60,80
Cluster 2: n=51,Geometry Floor Area,1284.31,1250.0,783.2,250,4000
Cluster 2: n=51,Heating Setpoint,60.67,55.0,7.7,55,76
Cluster 2: n=51,Income,27941.18,0.0,50082.54,0,200000
Cluster 2: n=51,Occupants,0.76,0.0,1.26,0,5
Cluster 2: n=51,Vintage,1993.0,1995.0,19.0,1940,2015
Cluster 3: n=3,Cooling Setpoint,71.0,70.0,2.94,68,75
Cluster 3: n=3,Geometry Floor Area,1000.0,875.0,176.78,875,1250
Cluster 3: n=3,Heating Setpoint,71.67,72.0,2.87,68,75
Cluster 3: n=3,Income,55833.33,65000.0,32296.37,12500,90000
Cluster 3: n=3,Occupants,2.67,2.0,1.7,1,5
Cluster 3: n=3,Vintage,1992.0,1995.0,5.0,1985,1995
Total: n=800,Cooling Setpoint,71.33,72.0,4.19,60,80
Total: n=800,Geometry Floor Area,1881.56,1750.0,959.16,250,4000
Total: n=800,Heating Setpoint,68.82,70.0,4.36,55,80
Total: n=800,Income,90628.12,90000.0,58695.75,0,200000
Total: n=800,Occupants,2.28,2.0,1.3,0,7
Total: n=800,Vintage,1994.0,1995.0,17.0,1940,2015
