,,Don't have ducting,Tier 1: Feasible,Tier 2: Feasible vs. Alternative,Tier 3: Subsidy-Dependent Feasibility,Tier 4: Averse,Total
1A,urban,7.0,0.0,4.0,0.0,4.0,15.0
1A,suburban,25.0,0.0,54.0,0.0,35.0,114.0
1A,rural,11.0,0.0,2.0,0.0,2.0,15.0
2A,urban,13.0,0.0,33.0,7.0,28.0,81.0
2A,suburban,50.0,0.0,376.0,25.0,272.0,723.0
2A,rural,17.0,0.0,62.0,2.0,43.0,124.0
2B,urban,5.0,0.0,21.0,1.0,17.0,44.0
2B,suburban,6.0,0.0,51.0,3.0,48.0,108.0
2B,rural,0.0,0.0,3.0,1.0,2.0,6.0
3A,urban,9.0,0.0,22.0,24.0,19.0,74.0
3A,suburban,33.0,0.0,247.0,170.0,194.0,644.0
3A,rural,28.0,0.0,188.0,28.0,102.0,346.0
3B,urban,52.0,0.0,17.0,13.0,70.0,152.0
3B,suburban,63.0,0.0,63.0,82.0,357.0,565.0
3B,rural,1.0,0.0,7.0,5.0,13.0,26.0
3C,urban,15.0,0.0,1.0,7.0,17.0,40.0
3C,suburban,22.0,0.0,15.0,36.0,73.0,146.0
3C,rural,1.0,0.0,0.0,0.0,1.0,2.0
4A,urban,209.0,0.0,29.0,59.0,88.0,385.0
4A,suburban,124.0,0.0,171.0,359.0,283.0,937.0
4A,rural,35.0,0.0,161.0,75.0,129.0,400.0
4B,urban,0.0,0.0,0.0,1.0,2.0,3.0
4B,suburban,3.0,0.0,1.0,15.0,16.0,35.0
4B,rural,2.0,0.0,1.0,14.0,7.0,24.0
4C,urban,13.0,0.0,3.0,12.0,6.0,34.0
4C,suburban,28.0,0.0,23.0,66.0,42.0,159.0
4C,rural,11.0,0.0,8.0,1.0,17.0,37.0
5A,urban,92.0,0.0,5.0,61.0,43.0,201.0
5A,suburban,225.0,0.0,21.0,734.0,310.0,1290.0
5A,rural,35.0,0.0,13.0,198.0,66.0,312.0
5B,urban,2.0,0.0,2.0,14.0,7.0,25.0
5B,suburban,18.0,0.0,16.0,128.0,45.0,207.0
5B,rural,18.0,0.0,10.0,26.0,17.0,71.0
6A,urban,11.0,0.0,1.0,13.0,3.0,28.0
6A,suburban,37.0,0.0,4.0,152.0,26.0,219.0
6A,rural,33.0,0.0,5.0,157.0,49.0,244.0
6B,urban,0.0,0.0,0.0,0.0,0.0,0.0
6B,suburban,1.0,0.0,0.0,5.0,1.0,7.0
6B,rural,15.0,0.0,3.0,35.0,14.0,67.0
7A,urban,0.0,0.0,0.0,0.0,0.0,0.0
7A,suburban,1.0,0.0,0.0,6.0,1.0,8.0
7A,rural,6.0,0.0,2.0,44.0,3.0,55.0
7B,urban,0.0,0.0,0.0,0.0,0.0,0.0
7B,suburban,0.0,0.0,0.0,0.0,0.0,0.0
7B,rural,1.0,0.0,1.0,7.0,0.0,9.0
7AK,suburban,0.0,0.0,0.0,0.0,0.0,0.0
7AK,urban,3.0,0.0,0.0,2.0,2.0,7.0
7AK,rural,6.0,0.0,0.0,0.0,1.0,7.0
8AK,suburban,0.0,0.0,0.0,0.0,0.0,0.0
8AK,urban,0.0,0.0,0.0,0.0,0.0,0.0
8AK,rural,4.0,0.0,0.0,0.0,0.0,4.0
