,,Don't have ducting,Tier 1: Feasible,Tier 2: Feasible vs. Alternative,Tier 3: Subsidy-Dependent Feasibility,Tier 4: Averse,Total
1A,urban,7.0,0.0,7.0,0.0,1.0,15.0
1A,suburban,25.0,0.0,84.0,0.0,5.0,114.0
1A,rural,11.0,0.0,4.0,0.0,0.0,15.0
2A,urban,13.0,0.0,62.0,0.0,6.0,81.0
2A,suburban,50.0,0.0,624.0,0.0,49.0,723.0
2A,rural,17.0,0.0,100.0,0.0,7.0,124.0
2B,urban,5.0,0.0,36.0,0.0,3.0,44.0
2B,suburban,6.0,0.0,96.0,0.0,6.0,108.0
2B,rural,0.0,0.0,5.0,0.0,1.0,6.0
3A,urban,9.0,0.0,56.0,0.0,9.0,74.0
3A,suburban,33.0,0.0,519.0,0.0,92.0,644.0
3A,rural,28.0,0.0,285.0,0.0,33.0,346.0
3B,urban,52.0,0.0,47.0,0.0,53.0,152.0
3B,suburban,63.0,0.0,259.0,0.0,243.0,565.0
3B,rural,1.0,0.0,12.0,0.0,13.0,26.0
3C,urban,15.0,0.0,11.0,0.0,14.0,40.0
3C,suburban,22.0,0.0,49.0,0.0,75.0,146.0
3C,rural,1.0,0.0,0.0,0.0,1.0,2.0
4A,urban,209.0,0.0,59.0,0.0,117.0,385.0
4A,suburban,124.0,0.0,362.0,0.0,451.0,937.0
4A,rural,35.0,0.0,254.0,0.0,111.0,400.0
4B,urban,0.0,0.0,0.0,0.0,3.0,3.0
4B,suburban,3.0,0.0,5.0,0.0,27.0,35.0
4B,rural,2.0,0.0,8.0,0.0,14.0,24.0
4C,urban,13.0,0.0,7.0,0.0,14.0,34.0
4C,suburban,28.0,0.0,55.0,0.0,76.0,159.0
4C,rural,11.0,0.0,13.0,0.0,13.0,37.0
5A,urban,92.0,0.0,13.0,0.0,96.0,201.0
5A,suburban,225.0,0.0,52.0,0.0,1013.0,1290.0
5A,rural,35.0,0.0,28.0,0.0,249.0,312.0
5B,urban,2.0,0.0,6.0,0.0,17.0,25.0
5B,suburban,18.0,0.0,60.0,0.0,129.0,207.0
5B,rural,18.0,0.0,18.0,0.0,35.0,71.0
6A,urban,11.0,0.0,2.0,0.0,15.0,28.0
6A,suburban,37.0,0.0,8.0,0.0,174.0,219.0
6A,rural,33.0,0.0,10.0,0.0,201.0,244.0
6B,urban,0.0,0.0,0.0,0.0,0.0,0.0
6B,suburban,1.0,0.0,1.0,0.0,5.0,7.0
6B,rural,15.0,0.0,15.0,0.0,37.0,67.0
7A,urban,0.0,0.0,0.0,0.0,0.0,0.0
7A,suburban,1.0,0.0,2.0,0.0,5.0,8.0
7A,rural,6.0,0.0,1.0,0.0,48.0,55.0
7B,urban,0.0,0.0,0.0,0.0,0.0,0.0
7B,suburban,0.0,0.0,0.0,0.0,0.0,0.0
7B,rural,1.0,0.0,3.0,0.0,5.0,9.0
7AK,suburban,0.0,0.0,0.0,0.0,0.0,0.0
7AK,urban,3.0,0.0,0.0,0.0,4.0,7.0
7AK,rural,6.0,0.0,0.0,0.0,1.0,7.0
8AK,suburban,0.0,0.0,0.0,0.0,0.0,0.0
8AK,urban,0.0,0.0,0.0,0.0,0.0,0.0
8AK,rural,4.0,0.0,0.0,0.0,0.0,4.0
