"Table 4.  Residential Sector Key Indicators and Consumption"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2023&cases=ref2023&sourcekey=0"
"Thu Nov 14 2024 15:24:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2022-2050)"
Key Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Family,"Residential: Key Indicators: Households: Single-Family": Reference case,AEO.2023.REF2023.KEI_HHD_RESD_SFR_NA_NA_USA_MILL.A,"millions",,86.924255,87.748611,88.618675,89.519981,90.411308,91.302132,92.198265,93.091507,93.970619,94.836555,95.694557,96.533203,97.347885,98.154381,98.959145,99.75724,100.550064,101.334656,102.124992,102.91761,103.69783,104.473312,105.245972,106.016052,106.78051,107.538147,108.286224,109.022423,109.74868,"0.8%"
Multifamily,"Residential: Key Indicators: Households: Multifamily": Reference case,AEO.2023.REF2023.KEI_HHD_RESD_MFR_NA_NA_USA_MILL.A,"millions",,32.842152,33.209229,33.535469,33.85815,34.181629,34.507633,34.834255,35.155056,35.46513,35.769081,36.0718,36.366608,36.650593,36.930111,37.212017,37.496159,37.783924,38.073307,38.36647,38.656506,38.941956,39.223991,39.501945,39.776779,40.048443,40.322777,40.595905,40.869537,41.144089,"0.8%"
Mobile Homes,"Residential: Key Indicators: Households: Mobile Homes": Reference case,AEO.2023.REF2023.KEI_HHD_RESD_MBH_NA_NA_USA_MILL.A,"millions",,6.648376,6.654435,6.657747,6.660283,6.66859,6.680898,6.695705,6.709839,6.717811,6.722091,6.727011,6.734098,6.740673,6.744905,6.74995,6.752422,6.751948,6.750166,6.750861,6.753187,6.756266,6.759341,6.761881,6.763837,6.764435,6.765501,6.766449,6.766767,6.767235,"0.1%"
Total,"Residential: Key Indicators: Households: Total": Reference case,AEO.2023.REF2023.KEI_HHD_RESD_TEN_NA_NA_USA_MILL.A,"millions",,126.41478,127.612274,128.81189,130.038406,131.261536,132.490662,133.728226,134.956406,136.153549,137.327728,138.493362,139.633911,140.739151,141.829391,142.921112,144.005829,145.085938,146.158127,147.24231,148.327301,149.396057,150.456635,151.509811,152.556671,153.593384,154.626434,155.648575,156.658737,157.660004,"0.8%"
Average House Square Footage,"Residential: Key Indicators: Average House Square Footage": Reference case,AEO.2023.REF2023.KEI_HHD_RESD_NA_NA_NA_USA_SQFT.A,"sq ft",,1798.915771,1803.520874,1808.426392,1813.318481,1818.080444,1822.7229,1827.27771,1831.800049,1836.339355,1840.849487,1845.285522,1849.677368,1854.060791,1858.411255,1862.675903,1866.866333,1870.975464,1875.011353,1878.957764,1882.868408,1886.739746,1890.577881,1894.39209,1898.17981,1901.938843,1905.62085,1909.252319,1912.822876,1916.330322,"0.2%"
Energy Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(million Btu per household),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross End-use Consumption,"Residential: Household Energy Intensity: Gross End-use Consumption": Reference case,AEO.2023.REF2023.INY_HHD_RESD_DELE_NA_NA_USA_MILLBTUPHOSD.A,"MMBtu/household",,93.909477,92.769119,89.479935,89.052956,88.647408,88.231392,87.719673,87.082458,86.372932,85.637901,84.930008,84.330368,83.726021,83.229088,82.803543,82.42997,82.039726,81.693481,81.360573,81.06002,80.817673,80.633194,80.500008,80.389549,80.279945,80.223389,80.211197,80.229492,80.285049,"-0.6%"
