,scenario,gea_region,year,lrmer_co2e_kg_per_MWh
0,Decarb100by2035,CAISO,2025,255.1
1,Decarb100by2035,CAISO,2026,238.79999999999998
2,Decarb100by2035,CAISO,2027,222.5
3,Decarb100by2035,CAISO,2028,206.2
4,Decarb100by2035,CAISO,2029,189.89999999999998
5,Decarb100by2035,CAISO,2030,173.6
6,Decarb100by2035,CAISO,2031,138.88
7,Decarb100by2035,CAISO,2032,104.16
8,Decarb100by2035,CAISO,2033,69.44
9,Decarb100by2035,CAISO,2034,34.72
10,Decarb100by2035,CAISO,2035,0.0
11,Decarb100by2035,CAISO,2036,0.0
12,Decarb100by2035,CAISO,2037,0.0
13,Decarb100by2035,CAISO,2038,0.0
14,Decarb100by2035,CAISO,2039,0.0
15,Decarb100by2035,CAISO,2040,0.0
16,Decarb100by2035,CAISO,2041,0.0
17,Decarb100by2035,CAISO,2042,0.0
18,Decarb100by2035,CAISO,2043,0.0
19,Decarb100by2035,CAISO,2044,0.0
20,Decarb100by2035,CAISO,2045,0.0
21,Decarb100by2035,CAISO,2046,0.0
22,Decarb100by2035,CAISO,2047,0.0
23,Decarb100by2035,CAISO,2048,0.0
24,Decarb100by2035,CAISO,2049,0.0
25,Decarb100by2035,CAISO,2050,0.0
26,Decarb100by2035,ERCOT,2025,246.8
27,Decarb100by2035,ERCOT,2026,234.08
28,Decarb100by2035,ERCOT,2027,221.36
29,Decarb100by2035,ERCOT,2028,208.64
30,Decarb100by2035,ERCOT,2029,195.92
31,Decarb100by2035,ERCOT,2030,183.2
32,Decarb100by2035,ERCOT,2031,146.56
33,Decarb100by2035,ERCOT,2032,109.91999999999999
34,Decarb100by2035,ERCOT,2033,73.27999999999999
35,Decarb100by2035,ERCOT,2034,36.639999999999986
36,Decarb100by2035,ERCOT,2035,0.0
37,Decarb100by2035,ERCOT,2036,0.0
38,Decarb100by2035,ERCOT,2037,0.0
39,Decarb100by2035,ERCOT,2038,0.0
40,Decarb100by2035,ERCOT,2039,0.0
41,Decarb100by2035,ERCOT,2040,0.0
42,Decarb100by2035,ERCOT,2041,0.0
43,Decarb100by2035,ERCOT,2042,0.0
44,Decarb100by2035,ERCOT,2043,0.0
45,Decarb100by2035,ERCOT,2044,0.0
46,Decarb100by2035,ERCOT,2045,0.0
47,Decarb100by2035,ERCOT,2046,0.0
48,Decarb100by2035,ERCOT,2047,0.0
49,Decarb100by2035,ERCOT,2048,0.0
50,Decarb100by2035,ERCOT,2049,0.0
51,Decarb100by2035,ERCOT,2050,0.0
52,Decarb100by2035,FRCC,2025,534.8
53,Decarb100by2035,FRCC,2026,495.9
54,Decarb100by2035,FRCC,2027,457.0
55,Decarb100by2035,FRCC,2028,418.09999999999997
56,Decarb100by2035,FRCC,2029,379.2
57,Decarb100by2035,FRCC,2030,340.3
58,Decarb100by2035,FRCC,2031,272.24
59,Decarb100by2035,FRCC,2032,204.18
60,Decarb100by2035,FRCC,2033,136.12
61,Decarb100by2035,FRCC,2034,68.06
62,Decarb100by2035,FRCC,2035,0.0
63,Decarb100by2035,FRCC,2036,0.0
64,Decarb100by2035,FRCC,2037,0.0
65,Decarb100by2035,FRCC,2038,0.0
66,Decarb100by2035,FRCC,2039,0.0
67,Decarb100by2035,FRCC,2040,0.0
68,Decarb100by2035,FRCC,2041,0.0
69,Decarb100by2035,FRCC,2042,0.0
70,Decarb100by2035,FRCC,2043,0.0
71,Decarb100by2035,FRCC,2044,0.0
72,Decarb100by2035,FRCC,2045,0.0
73,Decarb100by2035,FRCC,2046,0.0
74,Decarb100by2035,FRCC,2047,0.0
75,Decarb100by2035,FRCC,2048,0.0
76,Decarb100by2035,FRCC,2049,0.0
77,Decarb100by2035,FRCC,2050,0.0
78,Decarb100by2035,ISONE,2025,312.5
79,Decarb100by2035,ISONE,2026,291.64
80,Decarb100by2035,ISONE,2027,270.78
81,Decarb100by2035,ISONE,2028,249.92
82,Decarb100by2035,ISONE,2029,229.06
83,Decarb100by2035,ISONE,2030,208.2
84,Decarb100by2035,ISONE,2031,166.56
85,Decarb100by2035,ISONE,2032,124.91999999999999
86,Decarb100by2035,ISONE,2033,83.27999999999999
87,Decarb100by2035,ISONE,2034,41.639999999999986
88,Decarb100by2035,ISONE,2035,0.0
89,Decarb100by2035,ISONE,2036,0.0
90,Decarb100by2035,ISONE,2037,0.0
91,Decarb100by2035,ISONE,2038,0.0
92,Decarb100by2035,ISONE,2039,0.0
93,Decarb100by2035,ISONE,2040,0.0
94,Decarb100by2035,ISONE,2041,0.0
95,Decarb100by2035,ISONE,2042,0.0
96,Decarb100by2035,ISONE,2043,0.0
97,Decarb100by2035,ISONE,2044,0.0
98,Decarb100by2035,ISONE,2045,0.0
99,Decarb100by2035,ISONE,2046,0.0
100,Decarb100by2035,ISONE,2047,0.0
101,Decarb100by2035,ISONE,2048,0.0
102,Decarb100by2035,ISONE,2049,0.0
103,Decarb100by2035,ISONE,2050,0.0
104,Decarb100by2035,MISO_Central,2025,693.8
105,Decarb100by2035,MISO_Central,2026,593.74
106,Decarb100by2035,MISO_Central,2027,493.67999999999995
107,Decarb100by2035,MISO_Central,2028,393.62
108,Decarb100by2035,MISO_Central,2029,293.56
109,Decarb100by2035,MISO_Central,2030,193.5
110,Decarb100by2035,MISO_Central,2031,154.8
111,Decarb100by2035,MISO_Central,2032,116.1
112,Decarb100by2035,MISO_Central,2033,77.39999999999999
113,Decarb100by2035,MISO_Central,2034,38.69999999999999
114,Decarb100by2035,MISO_Central,2035,0.0
115,Decarb100by2035,MISO_Central,2036,0.0
116,Decarb100by2035,MISO_Central,2037,0.0
117,Decarb100by2035,MISO_Central,2038,0.0
118,Decarb100by2035,MISO_Central,2039,0.0
119,Decarb100by2035,MISO_Central,2040,0.0
120,Decarb100by2035,MISO_Central,2041,0.0
121,Decarb100by2035,MISO_Central,2042,0.0
122,Decarb100by2035,MISO_Central,2043,0.0
123,Decarb100by2035,MISO_Central,2044,0.0
124,Decarb100by2035,MISO_Central,2045,0.0
125,Decarb100by2035,MISO_Central,2046,0.0
126,Decarb100by2035,MISO_Central,2047,0.0
127,Decarb100by2035,MISO_Central,2048,0.0
128,Decarb100by2035,MISO_Central,2049,0.0
129,Decarb100by2035,MISO_Central,2050,0.0
130,Decarb100by2035,MISO_North,2025,383.7
131,Decarb100by2035,MISO_North,2026,335.96
