scenario,gea_region,year,lrmer_co2e_kg_per_MWh
MidCase,CAISO,2025,253.8
MidCase,CAISO,2030,184.2
MidCase,CAISO,2035,69.6
MidCase,CAISO,2040,37.5
MidCase,CAISO,2045,28.4
MidCase,CAISO,2050,22.3
MidCase,ERCOT,2025,268
MidCase,ERCOT,2030,176.8
MidCase,ERCOT,2035,90.1
MidCase,ERCOT,2040,91.7
MidCase,ERCOT,2045,98.6
MidCase,ERCOT,2050,116.7
MidCase,FRCC,2025,500.4
MidCase,FRCC,2030,334.9
MidCase,FRCC,2035,303.9
MidCase,FRCC,2040,283.5
MidCase,FRCC,2045,193.5
MidCase,FRCC,2050,315.1
MidCase,ISONE,2025,316
MidCase,ISONE,2030,220.4
MidCase,ISONE,2035,143.8
MidCase,ISONE,2040,102.8
MidCase,ISONE,2045,65.8
MidCase,ISONE,2050,45.8
MidCase,MISO_Central,2025,745.7
MidCase,MISO_Central,2030,163.4
MidCase,MISO_Central,2035,181
MidCase,MISO_Central,2040,212.7
MidCase,MISO_Central,2045,119.9
MidCase,MISO_Central,2050,169.3
MidCase,MISO_North,2025,467.4
MidCase,MISO_North,2030,105.9
MidCase,MISO_North,2035,72.6
MidCase,MISO_North,2040,144.4
MidCase,MISO_North,2045,93.7
MidCase,MISO_North,2050,132.8
MidCase,MISO_South,2025,616
MidCase,MISO_South,2030,241.1
MidCase,MISO_South,2035,110.1
MidCase,MISO_South,2040,74.2
MidCase,MISO_South,2045,139.4
MidCase,MISO_South,2050,217.5
MidCase,NYISO,2025,339.8
MidCase,NYISO,2030,194.8
MidCase,NYISO,2035,161.1
MidCase,NYISO,2040,0
MidCase,NYISO,2045,0
MidCase,NYISO,2050,0
MidCase,NorthernGrid_East,2025,282.1
MidCase,NorthernGrid_East,2030,183
MidCase,NorthernGrid_East,2035,181.1
MidCase,NorthernGrid_East,2040,77.2
MidCase,NorthernGrid_East,2045,100
MidCase,NorthernGrid_East,2050,260.3
MidCase,NorthernGrid_South,2025,236.9
MidCase,NorthernGrid_South,2030,191.1
MidCase,NorthernGrid_South,2035,146.6
MidCase,NorthernGrid_South,2040,79.5
MidCase,NorthernGrid_South,2045,84.5
MidCase,NorthernGrid_South,2050,141.7
MidCase,NorthernGrid_West,2025,100.1
MidCase,NorthernGrid_West,2030,47.6
MidCase,NorthernGrid_West,2035,43
MidCase,NorthernGrid_West,2040,26.2
MidCase,NorthernGrid_West,2045,23.7
MidCase,NorthernGrid_West,2050,42.4
MidCase,PJM_East,2025,621.3
MidCase,PJM_East,2030,267.5
MidCase,PJM_East,2035,250.1
MidCase,PJM_East,2040,261.2
MidCase,PJM_East,2045,209.8
MidCase,PJM_East,2050,262.4
MidCase,PJM_West,2025,594.1
MidCase,PJM_West,2030,100.9
MidCase,PJM_West,2035,127.3
MidCase,PJM_West,2040,159.3
MidCase,PJM_West,2045,60.9
MidCase,PJM_West,2050,54
MidCase,SERTP,2025,666.6
MidCase,SERTP,2030,294.2
MidCase,SERTP,2035,147.7
MidCase,SERTP,2040,188.8
MidCase,SERTP,2045,147.9
MidCase,SERTP,2050,179.5
MidCase,SPP_North,2025,716
MidCase,SPP_North,2030,130.9
MidCase,SPP_North,2035,73.2
MidCase,SPP_North,2040,160.8
MidCase,SPP_North,2045,131.1
MidCase,SPP_North,2050,71.4
MidCase,SPP_South,2025,576.1
MidCase,SPP_South,2030,121.1
MidCase,SPP_South,2035,123.1
