"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0
2023,"AZNMc","Coal",0
2024,"AZNMc","Coal",0
2025,"AZNMc","Coal",0.137832287801256
2026,"AZNMc","Coal",0.275664575602512
2027,"AZNMc","Coal",0.418617382063964
2028,"AZNMc","Coal",0.561570188525415
2029,"AZNMc","Coal",0.311161799785145
2030,"AZNMc","Coal",0.0607534110448747
2031,"AZNMc","Coal",0.049822038032495
2032,"AZNMc","Coal",0.0388906650201152
2033,"AZNMc","Coal",0.0279592920077355
2034,"AZNMc","Coal",0.0170279189953557
2035,"AZNMc","Coal",0.00609654598297601
2036,"AZNMc","Coal",0.00946895944703239
2037,"AZNMc","Coal",0.0128413729110888
2038,"AZNMc","Coal",0.0162137863751451
2039,"AZNMc","Coal",0.0195861998392015
2040,"AZNMc","Coal",0.0229586133032579
2041,"AZNMc","Coal",0.0244596761643681
2042,"AZNMc","Coal",0.0259607390254783
2043,"AZNMc","Coal",0.0274618018865885
2044,"AZNMc","Coal",0.0289628647476987
2045,"AZNMc","Coal",0.0304639276088089
2046,"AZNMc","Coal",0.0252951711699715
2047,"AZNMc","Coal",0.020126414731134
2048,"AZNMc","Coal",0.0149576582922966
2049,"AZNMc","Coal",0.00978890185345919
2050,"AZNMc","Coal",0.00462014541462176
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.917726087972799
2023,"ERCTc","Coal",0.917726087972799
2024,"ERCTc","Coal",0.917726087972799
2025,"ERCTc","Coal",0.643928820367341
2026,"ERCTc","Coal",0.370131552761883
2027,"ERCTc","Coal",0.287680306230403
2028,"ERCTc","Coal",0.205229059698924
2029,"ERCTc","Coal",0.127920549965172
2030,"ERCTc","Coal",0.0506120402314197
2031,"ERCTc","Coal",0.0524715244231573
2032,"ERCTc","Coal",0.0543310086148949
2033,"ERCTc","Coal",0.0561904928066326
2034,"ERCTc","Coal",0.0580499769983702
2035,"ERCTc","Coal",0.0599094611901078
2036,"ERCTc","Coal",0.0516346366920227
2037,"ERCTc","Coal",0.0433598121939375
2038,"ERCTc","Coal",0.0350849876958524
2039,"ERCTc","Coal",0.0268101631977672
2040,"ERCTc","Coal",0.0185353386996821
2041,"ERCTc","Coal",0.0169709841739035
2042,"ERCTc","Coal",0.015406629648125
2043,"ERCTc","Coal",0.0138422751223464
2044,"ERCTc","Coal",0.0122779205965679
2045,"ERCTc","Coal",0.0107135660707893
2046,"ERCTc","Coal",0.0115723384070844
2047,"ERCTc","Coal",0.0124311107433795
2048,"ERCTc","Coal",0.0132898830796746
