"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.230086843966861
2023,"AZNMc","Coal",0.197473396578538
2024,"AZNMc","Coal",0.164859949190214
2025,"AZNMc","Coal",0.162606908919291
2026,"AZNMc","Coal",0.160353868648367
2027,"AZNMc","Coal",0.153644593464708
2028,"AZNMc","Coal",0.14693531828105
2029,"AZNMc","Coal",0.117840514964813
2030,"AZNMc","Coal",0.0887457116485771
2031,"AZNMc","Coal",0.0811629043434191
2032,"AZNMc","Coal",0.073580097038261
2033,"AZNMc","Coal",0.0659972897331029
2034,"AZNMc","Coal",0.0584144824279448
2035,"AZNMc","Coal",0.0508316751227867
2036,"AZNMc","Coal",0.0492407011452546
2037,"AZNMc","Coal",0.0476497271677225
2038,"AZNMc","Coal",0.0460587531901903
2039,"AZNMc","Coal",0.0444677792126582
2040,"AZNMc","Coal",0.0428768052351261
2041,"AZNMc","Coal",0.0412522045876866
2042,"AZNMc","Coal",0.0396276039402472
2043,"AZNMc","Coal",0.0380030032928078
2044,"AZNMc","Coal",0.0363784026453684
2045,"AZNMc","Coal",0.034753801997929
2046,"AZNMc","Coal",0.0331381932187493
2047,"AZNMc","Coal",0.0315225844395696
2048,"AZNMc","Coal",0.02990697566039
2049,"AZNMc","Coal",0.0282913668812103
2050,"AZNMc","Coal",0.0266757581020306
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.209692148829374
2023,"ERCTc","Coal",0.162001440494458
2024,"ERCTc","Coal",0.114310732159542
2025,"ERCTc","Coal",0.109847409714936
2026,"ERCTc","Coal",0.10538408727033
2027,"ERCTc","Coal",0.087101268828216
2028,"ERCTc","Coal",0.0688184503861019
2029,"ERCTc","Coal",0.0594758785658883
2030,"ERCTc","Coal",0.0501333067456747
2031,"ERCTc","Coal",0.0495966240249144
2032,"ERCTc","Coal",0.0490599413041542
2033,"ERCTc","Coal",0.0485232585833939
2034,"ERCTc","Coal",0.0479865758626336
2035,"ERCTc","Coal",0.0474498931418734
2036,"ERCTc","Coal",0.0461557357788952
2037,"ERCTc","Coal",0.0448615784159171
2038,"ERCTc","Coal",0.0435674210529389
2039,"ERCTc","Coal",0.0422732636899608
2040,"ERCTc","Coal",0.0409791063269826
2041,"ERCTc","Coal",0.0390667760612291
2042,"ERCTc","Coal",0.0371544457954756
2043,"ERCTc","Coal",0.0352421155297221
2044,"ERCTc","Coal",0.0333297852639686
2045,"ERCTc","Coal",0.0314174549982152
2046,"ERCTc","Coal",0.0320068844149648
2047,"ERCTc","Coal",0.0325963138317144
2048,"ERCTc","Coal",0.0331857432484641
2049,"ERCTc","Coal",0.0337751726652137
2050,"ERCTc","Coal",0.0343646020819633
2022,"FRCCc","Coal",0.15837942889841
2023,"FRCCc","Coal",0.123722413873708
2024,"FRCCc","Coal",0.0890653988490053
2025,"FRCCc","Coal",0.0944680380818179
2026,"FRCCc","Coal",0.0998706773146306
2027,"FRCCc","Coal",0.0943264977235658
