"Year","Cambium.GEA","Source","Fraction"
2022,"AZNMc","Coal",0.120262025970234
2023,"AZNMc","Coal",0.120262025970234
2024,"AZNMc","Coal",0.120262025970234
2025,"AZNMc","Coal",0.112933596007372
2026,"AZNMc","Coal",0.105605166044511
2027,"AZNMc","Coal",0.0914134526465516
2028,"AZNMc","Coal",0.0772217392485926
2029,"AZNMc","Coal",0.0761784701973836
2030,"AZNMc","Coal",0.0751352011461746
2031,"AZNMc","Coal",0.0601081609169397
2032,"AZNMc","Coal",0.0450811206877048
2033,"AZNMc","Coal",0.0300540804584698
2034,"AZNMc","Coal",0.0150270402292349
2035,"AZNMc","Coal",0
2036,"AZNMc","Coal",0
2037,"AZNMc","Coal",0
2038,"AZNMc","Coal",0
2039,"AZNMc","Coal",0
2040,"AZNMc","Coal",0
2041,"AZNMc","Coal",0
2042,"AZNMc","Coal",0
2043,"AZNMc","Coal",0
2044,"AZNMc","Coal",0
2045,"AZNMc","Coal",0
2046,"AZNMc","Coal",0
2047,"AZNMc","Coal",0
2048,"AZNMc","Coal",0
2049,"AZNMc","Coal",0
2050,"AZNMc","Coal",0
2022,"CAMXc","Coal",0
2023,"CAMXc","Coal",0
2024,"CAMXc","Coal",0
2025,"CAMXc","Coal",0
2026,"CAMXc","Coal",0
2027,"CAMXc","Coal",0
2028,"CAMXc","Coal",0
2029,"CAMXc","Coal",0
2030,"CAMXc","Coal",0
2031,"CAMXc","Coal",0
2032,"CAMXc","Coal",0
2033,"CAMXc","Coal",0
2034,"CAMXc","Coal",0
2035,"CAMXc","Coal",0
2036,"CAMXc","Coal",0
2037,"CAMXc","Coal",0
2038,"CAMXc","Coal",0
2039,"CAMXc","Coal",0
2040,"CAMXc","Coal",0
2041,"CAMXc","Coal",0
2042,"CAMXc","Coal",0
2043,"CAMXc","Coal",0
2044,"CAMXc","Coal",0
2045,"CAMXc","Coal",0
2046,"CAMXc","Coal",0
2047,"CAMXc","Coal",0
2048,"CAMXc","Coal",0
2049,"CAMXc","Coal",0
2050,"CAMXc","Coal",0
2022,"ERCTc","Coal",0.0982331428732776
2023,"ERCTc","Coal",0.0982331428732776
2024,"ERCTc","Coal",0.0982331428732776
2025,"ERCTc","Coal",0.0789782943484879
2026,"ERCTc","Coal",0.0597234458236983
2027,"ERCTc","Coal",0.0440334001883318
2028,"ERCTc","Coal",0.0283433545529653
2029,"ERCTc","Coal",0.0275844306920534
2030,"ERCTc","Coal",0.0268255068311414
2031,"ERCTc","Coal",0.0214604054649131
2032,"ERCTc","Coal",0.0160953040986849
2033,"ERCTc","Coal",0.0107302027324566
2034,"ERCTc","Coal",0.00536510136622828
2035,"ERCTc","Coal",0
2036,"ERCTc","Coal",0
2037,"ERCTc","Coal",0
2038,"ERCTc","Coal",0
2039,"ERCTc","Coal",0
2040,"ERCTc","Coal",0
2041,"ERCTc","Coal",0
2042,"ERCTc","Coal",0
2043,"ERCTc","Coal",0
2044,"ERCTc","Coal",0
2045,"ERCTc","Coal",0
